,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
22,1,2.0,1.0,52,502,obj1end,ESACC,1.0,48.5782873308642,547.0237380589622,1434.8100396916661,868.3058044260674,622.7325669980654,120.99161127946017,study,452,obj3start,2.0,423,2,260.0,1660.0,820.0,225.6,797.6,210.0,210.0,430.0,244.3,311.1
23,1,2.0,1.0,386,888,,EFIX,1.0,,171.4190771180384,,1483.8815653548636,,737.5774535599634,study,504,obj1start,2.0,423,2,260.0,1660.0,820.0,,184.1,210.0,210.0,430.0,,56.3
24,1,2.0,1.0,58,946,screen,ESACC,1.0,420.8346468626365,194.11651140487766,979.2148895926778,1492.501664990696,264.91847802673186,754.3402547922257,study,890,screen,2.0,423,2,260.0,1660.0,820.0,680.8,177.9,210.0,210.0,430.0,204.6,34.1
25,1,2.0,1.0,486,1432,,EFIX,1.0,,444.4352821277806,,955.6164083982652,,243.5789810307942,study,948,screen,2.0,423,2,260.0,1660.0,820.0,,704.4,210.0,210.0,430.0,,215.6
26,1,2.0,1.0,18,1450,screen,ESACC,1.0,512.1478399837297,455.80741547280684,887.9275927686896,944.2035797432671,218.31951355753796,241.08172888047739,study,1434,screen,2.0,423,2,260.0,1660.0,820.0,772.1,715.8,210.0,210.0,430.0,217.0,212.6
27,1,2.0,1.0,260,1710,,EFIX,1.0,,534.5282967252529,,865.5174752712969,,216.0104164155053,study,1452,screen,2.0,423,2,260.0,1660.0,820.0,,794.5,210.0,210.0,430.0,,215.5
28,1,2.0,1.0,86,1796,screen,ESACC,1.0,1602.270342357993,542.4203628183587,227.4868128046108,857.6128788678491,1089.969839032255,216.018170532018,study,1712,screen,2.0,423,2,260.0,1660.0,820.0,1858.4,802.4,210.0,210.0,430.0,98.7,214.7
29,1,2.0,1.0,142,1938,,EFIX,1.0,,1554.2745446027225,,193.51837122092576,,1047.1682577312972,study,1798,screen,2.0,423,2,260.0,1660.0,820.0,,1809.4,210.0,210.0,430.0,,87.0
30,1,2.0,1.0,20,1958,obj2end,ESACC,1.0,1442.4993448871994,1543.9734259371176,84.40592396271717,188.39835455757043,928.3815810322822,1038.5614762737928,study,1940,screen,2.0,423,2,260.0,1660.0,820.0,1700.6,1798.7,210.0,210.0,430.0,136.0,82.5
31,1,2.0,1.0,488,2446,,EFIX,1.0,,1404.0427949318355,,67.94240207705349,,890.2382658592026,study,1960,obj2start,2.0,423,2,260.0,1660.0,820.0,,1662.4,210.0,210.0,430.0,,142.1
32,1,2.0,1.0,94,2540,obj1end,ESACC,1.0,88.07638730102411,1399.4278259345854,1385.0911341857618,63.23163765078363,622.9104670817468,884.5599131771686,study,2448,obj2start,2.0,423,2,260.0,1660.0,820.0,277.6,1658.0,210.0,210.0,430.0,123.7,146.8
33,1,2.0,1.0,196,2736,,EFIX,1.0,,115.10625526008566,,1418.2134712376694,,663.9077119600283,study,2542,obj1start,2.0,423,2,260.0,1660.0,820.0,,246.4,210.0,210.0,430.0,,95.7
34,1,2.0,1.0,16,2752,obj1end,ESACC,1.0,146.651048410845,126.41914411986816,1480.0900411799278,1430.9653385040463,722.9789277703743,679.0624419005958,study,2738,obj1start,2.0,423,2,260.0,1660.0,820.0,185.3,234.4,210.0,210.0,430.0,83.8,86.2
35,1,2.0,1.0,470,3222,,EFIX,1.0,,159.72679800208854,,1496.8609320842065,,739.7787845025025,study,2754,obj1start,2.0,423,2,260.0,1660.0,820.0,,168.9,210.0,210.0,430.0,,78.8
36,1,2.0,1.0,306,3528,obj1end,ESACC,1.0,142.13641334999278,133.06547260653306,1514.9002475410716,1491.2499522212902,685.4274286895732,722.5720863692425,study,3224,obj1start,2.0,423,2,260.0,1660.0,820.0,147.6,172.1,210.0,210.0,430.0,297.0,110.1
37,1,2.0,1.0,166,3694,,EFIX,1.0,,446.783224841757,,975.6921901911484,,165.09164121784,study,3530,obj3start,2.0,423,2,260.0,1660.0,820.0,,691.3,210.0,210.0,430.0,,326.6
38,1,2.0,1.0,64,3758,obj2end,ESACC,1.0,1416.7965697304605,438.2168413011987,28.853422673922008,966.4543444984869,878.8267861188573,208.60009587725506,study,3696,screen,2.0,423,2,260.0,1660.0,820.0,1676.6,695.0,210.0,210.0,430.0,233.6,263.0
39,1,2.0,1.0,258,4016,,EFIX,1.0,,1425.1481642271444,,40.091021438721135,,900.6282751501865,study,3760,obj2start,2.0,423,2,260.0,1660.0,820.0,,1684.8,210.0,210.0,430.0,,178.5
40,1,2.0,9.0,490,490,obj3end,ESACC,9.0,423.82606102031997,,212.72642054996362,,103.1723315622944,,study,2,screen,3.0,423,3,820.0,820.0,540.0,618.2,,650.0,210.0,210.0,277.3,
41,1,2.0,9.0,46,536,,EFIX,9.0,,444.86548528740684,,190.39248934766306,,99.9264729688785,study,492,obj3start,3.0,423,3,820.0,820.0,540.0,,633.1,650.0,210.0,210.0,,246.3
42,1,2.0,9.0,48,584,obj3end,ESACC,9.0,502.15958618749875,448.5208244886741,311.4807377672012,207.23641089345276,52.11765535785352,86.59636251021175,study,538,obj3start,3.0,423,3,820.0,820.0,540.0,511.6,616.7,650.0,210.0,210.0,253.7,250.2
43,1,2.0,9.0,720,1304,,EFIX,9.0,,535.7474218323407,,323.96496724183,,45.621266970569756,study,586,obj3start,3.0,423,3,820.0,820.0,540.0,,496.3,650.0,210.0,210.0,,223.1
44,1,2.0,9.0,72,1376,obj2end,ESACC,9.0,457.27044514160326,536.8214787059103,48.828884894087025,323.2975409742549,233.97491318515324,44.55670544373767,study,1306,obj3start,3.0,423,3,820.0,820.0,540.0,773.5,496.9,650.0,210.0,210.0,195.1,221.3
45,1,2.0,9.0,366,1742,,EFIX,9.0,,474.0391545009758,,39.30801444998206,,261.76539114252677,study,1378,obj2start,3.0,423,3,820.0,820.0,540.0,,799.6,650.0,210.0,210.0,,176.4
46,1,2.0,9.0,34,1776,obj2end,ESACC,9.0,340.411633173721,464.3003876802172,155.51231462491964,24.307406278745592,210.84610501500856,280.4547200529882,study,1744,obj2start,3.0,423,3,820.0,820.0,540.0,716.2,819.4,650.0,210.0,210.0,325.8,185.7
47,1,2.0,9.0,170,1946,,EFIX,9.0,,288.9153855370115,,205.85456030897154,,241.9919420146051,study,1778,screen,3.0,423,3,820.0,820.0,540.0,,708.9,650.0,210.0,210.0,,383.3
48,1,2.0,9.0,32,1978,screen,ESACC,9.0,241.8714121180922,263.8978021886503,238.75883229736237,231.7629176550899,285.05048675629376,261.5072656734417,study,1948,screen,3.0,423,3,820.0,820.0,540.0,723.3,706.2,650.0,210.0,210.0,428.3,411.9
49,1,2.0,9.0,28,2006,,EFIX,9.0,,222.69737313223973,,245.97991787948865,,306.2190719076785,study,1980,screen,3.0,423,3,820.0,820.0,540.0,,739.4,650.0,210.0,210.0,,442.4
50,1,2.0,9.0,26,2032,screen,ESACC,9.0,236.44815499385905,220.6935431769584,233.2632204184792,250.5706287656237,294.5839948130244,306.6490502186498,study,2008,screen,3.0,423,3,820.0,820.0,540.0,737.8,735.8,650.0,210.0,210.0,428.3,446.0
51,1,2.0,9.0,22,2054,,blink,9.0,,206.25775136949397,,254.22482176215604,,324.3921392389156,study,2034,screen,3.0,423,3,820.0,820.0,540.0,,752.5,650.0,210.0,210.0,,455.1
52,1,2.0,9.0,650,2704,screen,ESACC,9.0,236.44815499385905,220.6935431769584,233.2632204184792,250.5706287656237,294.5839948130244,306.6490502186498,study,2056,screen,3.0,423,3,820.0,820.0,540.0,737.8,735.8,650.0,210.0,210.0,428.3,446.0
