,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,1.0,8.0,248,250,,EFIX,8.0,,228.52310605275784,,837.6483808854405,,449.7185897869911,study,4,screen,1.0,402,1,820.0,1660.0,1100.0,,934.1,430.0,210.0,210.0,,628.0
1,1,1.0,8.0,30,280,obj1end,ESACC,8.0,103.39332667053513,216.62005908964204,776.9261097427477,833.6259652865906,299.78355525278573,439.1312446182804,study,252,screen,1.0,402,1,820.0,1660.0,1100.0,921.3,931.7,430.0,210.0,210.0,450.7,615.6
2,1,1.0,8.0,206,486,,EFIX,8.0,,109.56687455613584,,758.8101870692037,,260.9538273334959,study,282,obj1start,1.0,402,1,820.0,1660.0,1100.0,,926.7,430.0,210.0,210.0,,405.1
3,1,1.0,8.0,28,514,obj3end,ESACC,8.0,281.8271988293535,117.20153582611452,623.7423907351497,751.3296214046136,74.6094498036275,249.57604051671305,study,488,obj1start,1.0,402,1,820.0,1660.0,1100.0,1037.6,931.6,430.0,210.0,210.0,250.9,394.2
4,1,1.0,8.0,192,706,,EFIX,8.0,,313.34895883024717,,592.5905584803053,,42.843552607131045,study,516,obj3start,1.0,402,1,820.0,1660.0,1100.0,,1068.1,430.0,210.0,210.0,,238.6
5,1,1.0,8.0,40,746,obj1end,ESACC,8.0,42.08622102303793,306.41294032726495,910.4016970546573,601.4755938523191,394.60264824250737,49.76836344506414,study,708,obj3start,1.0,402,1,820.0,1660.0,1100.0,779.0,1059.2,430.0,210.0,210.0,439.5,238.5
6,1,1.0,8.0,318,1064,,EFIX,8.0,,59.60511722998286,,925.0560901912921,,415.5006257516347,study,748,obj1start,1.0,402,1,820.0,1660.0,1100.0,,770.1,430.0,210.0,210.0,,462.6
7,1,1.0,8.0,10,1074,obj1end,ESACC,8.0,88.3830866172935,64.85213951752091,953.1440447277631,932.0546121338599,444.0400544995913,419.66391314955825,study,1066,obj1start,1.0,402,1,820.0,1660.0,1100.0,744.9,761.6,430.0,210.0,210.0,476.6,458.2
8,1,1.0,8.0,294,1368,,EFIX,8.0,,102.05929648983478,,961.5259226874749,,458.1049006504951,study,1076,obj1start,1.0,402,1,820.0,1660.0,1100.0,,741.9,430.0,210.0,210.0,,495.7
9,1,1.0,8.0,46,1414,obj3end,ESACC,8.0,281.35674863063076,108.4063651267766,605.9683325059158,961.5341595596071,81.66774148952578,463.4694596195094,study,1370,obj1start,1.0,402,1,820.0,1660.0,1100.0,1058.1,746.3,430.0,210.0,210.0,280.1,509.5
10,1,1.0,8.0,660,2074,,EFIX,8.0,,319.92380342825385,,585.6135585862062,,36.65023874410644,study,1416,obj3start,1.0,402,1,820.0,1660.0,1100.0,,1075.0,430.0,210.0,210.0,,236.8
11,1,1.0,8.0,56,2130,obj2end,ESACC,8.0,879.7695152709032,324.7655462021795,21.780725424099096,590.6239582001393,575.8006599509937,32.812497619047534,study,2076,obj3start,1.0,402,1,820.0,1660.0,1100.0,1675.6,1069.5,430.0,210.0,210.0,225.2,222.1
12,1,1.0,8.0,992,3122,,EFIX,8.0,,910.2504984892895,,57.51495457704899,,610.570200714054,study,2132,obj2start,1.0,402,1,820.0,1660.0,1100.0,,1709.9,430.0,210.0,210.0,,238.6
13,1,1.0,8.0,50,3172,obj3end,ESACC,8.0,362.58695508801753,910.1752853159659,542.2631280107471,62.44237343343057,22.30022421411954,612.3357330745936,study,3124,obj2start,1.0,402,1,820.0,1660.0,1100.0,1117.9,1711.3,430.0,210.0,210.0,223.3,245.6
14,1,1.0,8.0,272,3444,,EFIX,8.0,,341.3531895266251,,569.9140286043149,,15.033296378372883,study,3174,obj3start,1.0,402,1,820.0,1660.0,1100.0,,1090.2,430.0,210.0,210.0,,221.4
15,1,1.0,8.0,272,3716,obj1end,ESACC,8.0,135.0289598567655,341.30509811604054,990.5093740091509,572.6544944379638,454.0713820535269,14.871785366928806,study,3446,obj3start,1.0,402,1,820.0,1660.0,1100.0,688.1,1087.4,430.0,210.0,210.0,401.1,217.9
16,1,1.0,8.0,300,4016,,EFIX,8.0,,123.68108181933081,,973.7622964563785,,435.85893360122833,study,3718,obj1start,1.0,402,1,820.0,1660.0,1100.0,,703.0,430.0,210.0,210.0,,389.9
17,1,1.0,14.0,204,204,screen,ESACC,14.0,506.0947144557034,,207.78801697884313,,745.7129876835993,,study,2,screen,2.0,402,2,1380.0,1100.0,260.0,900.5,,430.0,650.0,210.0,591.9,
18,1,1.0,14.0,184,388,,EFIX,14.0,,497.34173361985216,,211.0279602327616,,738.8131022119194,study,206,screen,2.0,402,2,1380.0,1100.0,260.0,,903.6,430.0,650.0,210.0,,572.8
19,1,1.0,14.0,34,422,obj2end,ESACC,14.0,405.0096788966901,503.4130014212982,49.808031480876686,219.47357471914472,938.6292345756124,730.3154455439102,study,390,screen,2.0,402,2,1380.0,1100.0,260.0,1067.8,896.1,430.0,650.0,210.0,688.0,568.8
