,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,manip_accuracy,all_accuracy
0,1,1.0,8.0,250,252,,EFIX,8.0,,170.21295485361853,,377.863004275359,,727.7557626017125,study,True,False,4,obj1start,1.0,416,1,820.0,1100.0,1660.0,,938.9,430.0,210.0,650.0,,551.8,True,True
1,1,1.0,8.0,24,276,obj1end,ESACC,8.0,40.33472449391469,158.67501378604004,362.2635642733063,372.44296207607414,839.1727414543444,735.9087986972298,study,True,False,254,obj1start,1.0,416,1,820.0,1100.0,1660.0,841.7,932.0,430.0,210.0,650.0,464.0,542.4,True,True
2,1,1.0,8.0,180,456,,EFIX,8.0,,30.162891108114966,,370.7907765843159,,855.6528501676368,study,True,False,278,obj1start,1.0,416,1,820.0,1100.0,1660.0,,825.8,430.0,210.0,650.0,,459.6,True,True
3,1,1.0,8.0,38,494,obj2end,ESACC,8.0,278.53690958291327,39.02435137193183,85.19865022404994,373.8862126369466,764.3891744393036,850.4251289796181,study,True,False,458,obj1start,1.0,416,1,820.0,1100.0,1660.0,1018.4,829.3,430.0,210.0,650.0,234.5,467.9,True,True
4,1,1.0,8.0,144,638,,EFIX,8.0,,295.72247124626836,,66.69167864134171,,753.715980990187,study,True,False,496,obj2start,1.0,416,1,820.0,1100.0,1660.0,,1035.7,430.0,210.0,650.0,,227.7,True,True
5,1,1.0,8.0,38,676,obj1end,ESACC,8.0,31.647116772306422,295.3806527178109,354.7245973991654,66.82611764871572,892.0344948487137,753.4359495006859,study,True,False,640,obj2start,1.0,416,1,820.0,1100.0,1660.0,802.7,1035.7,430.0,210.0,650.0,403.5,228.2,True,True
6,1,1.0,8.0,264,940,,EFIX,8.0,,20.541178155110774,,373.1942389694675,,887.8569366739215,study,True,False,678,obj1start,1.0,416,1,820.0,1100.0,1660.0,,799.5,430.0,210.0,650.0,,431.3,True,True
7,1,1.0,8.0,38,978,obj2end,ESACC,8.0,329.6201753533907,13.656500283747624,27.666947789736348,368.5084802280674,711.4755512313827,880.4354036498078,study,True,False,942,obj1start,1.0,416,1,820.0,1100.0,1660.0,1083.9,806.7,430.0,210.0,650.0,232.5,433.1,True,True
8,1,1.0,8.0,250,1228,,EFIX,8.0,,334.4525377389145,,28.257742301889582,,700.7699337157667,study,True,False,980,obj2start,1.0,416,1,820.0,1100.0,1660.0,,1093.5,430.0,210.0,650.0,,237.5,True,True
9,1,1.0,8.0,12,1240,obj2end,ESACC,8.0,359.95906711735984,334.34797741275486,44.390652169122234,35.6169903276512,668.8636109103261,691.6448293741521,study,True,False,1230,obj2start,1.0,416,1,820.0,1100.0,1660.0,1128.3,1098.9,430.0,210.0,650.0,244.2,245.6,True,True
