,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,2.0,12.0,256,258,,EFIX,12.0,,206.4699736039117,,469.5592081942383,,746.4649020550129,study,True,False,4,screen,1.0,407,1,1100.0,1380.0,1660.0,,922.4,650.0,650.0,430.0,,544.7
1,1,2.0,12.0,26,284,obj1end,ESACC,12.0,68.69155697755008,201.42000893655026,338.09840283562426,465.740292437749,641.4160350349841,744.6489239903593,study,True,False,260,screen,1.0,407,1,1100.0,1380.0,1660.0,1044.3,925.1,650.0,650.0,430.0,609.8,550.1
2,1,2.0,12.0,216,500,,EFIX,12.0,,28.94995682207485,,306.5389045455731,,622.0692083683293,study,True,False,286,obj1start,1.0,407,1,1100.0,1380.0,1660.0,,1073.7,650.0,650.0,430.0,,637.9
3,1,2.0,12.0,32,532,obj2end,ESACC,12.0,235.70324562890525,27.652305509667674,54.51623611365694,303.48088901939104,377.8677281801132,618.0199430439117,study,True,False,502,obj1start,1.0,407,1,1100.0,1380.0,1660.0,1333.9,1076.9,650.0,650.0,430.0,620.9,634.8
4,1,2.0,12.0,562,1094,,EFIX,12.0,,256.7975856584326,,37.854986461495386,,359.91248936373404,study,True,False,534,obj2start,1.0,407,1,1100.0,1380.0,1660.0,,1355.2,650.0,650.0,430.0,,621.4
5,1,2.0,12.0,40,1134,obj3end,ESACC,12.0,523.4650800196705,257.1612917995242,275.5788271983173,40.248354003611134,80.69504321827948,358.2735407478481,study,True,False,1096,obj2start,1.0,407,1,1100.0,1380.0,1660.0,1593.7,1355.2,650.0,650.0,430.0,476.0,618.3
6,1,2.0,12.0,198,1332,,EFIX,12.0,,545.1315437580181,,297.8865555878614,,58.312948819280216,study,True,False,1136,obj3start,1.0,407,1,1100.0,1380.0,1660.0,,1612.2,650.0,650.0,430.0,,463.4
7,1,2.0,12.0,30,1362,obj2end,ESACC,12.0,331.9267539684018,535.870973276217,73.48040555141206,286.7990585758608,284.6179368908433,69.29429990987708,study,True,False,1334,obj3start,1.0,407,1,1100.0,1380.0,1660.0,1427.1,1605.9,650.0,650.0,430.0,593.6,473.3
8,1,2.0,12.0,362,1724,,EFIX,12.0,,309.9534965119769,,51.0604543653893,,308.62140236866264,study,True,False,1364,obj2start,1.0,407,1,1100.0,1380.0,1660.0,,1406.9,650.0,650.0,430.0,,606.6
9,1,2.0,12.0,36,1760,obj1end,ESACC,12.0,142.43707382560194,304.1557660147182,150.83872181903436,47.31521953874882,459.60017406437095,313.9342765611936,study,True,False,1726,obj2start,1.0,407,1,1100.0,1380.0,1660.0,1235.6,1401.2,650.0,650.0,430.0,606.4,607.7
10,1,2.0,12.0,178,1938,,EFIX,12.0,,104.63431559483729,,190.56846538711483,,497.29703397466585,study,True,False,1762,obj1start,1.0,407,1,1100.0,1380.0,1660.0,,1194.7,650.0,650.0,430.0,,605.5
11,1,2.0,12.0,24,1962,obj2end,ESACC,12.0,233.6348646927509,108.04378741973098,72.06420748193932,186.2510671110369,372.76970102195804,493.7260981556473,study,True,False,1940,obj1start,1.0,407,1,1100.0,1380.0,1660.0,1328.2,1198.9,650.0,650.0,430.0,599.9,606.5
12,1,2.0,12.0,244,2206,,EFIX,12.0,,261.08577134727193,,49.777304065206245,,349.99682855706,study,True,False,1964,obj2start,1.0,407,1,1100.0,1380.0,1660.0,,1357.3,650.0,650.0,430.0,,605.7
13,1,2.0,12.0,40,2246,obj3end,ESACC,12.0,582.6664998092821,272.3112373737081,340.10035283721777,46.83385527585785,20.303940504246906,339.7902441212814,study,True,False,2208,obj2start,1.0,407,1,1100.0,1380.0,1660.0,1639.7,1368.5,650.0,650.0,430.0,430.4,604.6
14,1,2.0,12.0,498,2744,,EFIX,12.0,,596.000679529814,,354.029391435231,,12.681088281373945,study,True,False,2248,obj3start,1.0,407,1,1100.0,1380.0,1660.0,,1650.5,650.0,650.0,430.0,,421.6
15,1,2.0,12.0,34,2778,obj2end,ESACC,12.0,315.4031071501992,596.9615481754247,75.73057506714186,355.25074243412917,293.4742237403482,13.232157798333565,study,True,False,2746,obj3start,1.0,407,1,1100.0,1380.0,1660.0,1407.4,1651.0,650.0,650.0,430.0,579.4,420.3
16,1,2.0,12.0,378,3156,,EFIX,12.0,,291.5836072209821,,53.03772242470449,,320.4075529696515,study,True,False,2780,obj2start,1.0,407,1,1100.0,1380.0,1660.0,,1386.8,650.0,650.0,430.0,,597.4
17,1,2.0,12.0,36,3192,obj3end,ESACC,12.0,585.5476496409153,293.9634841268554,339.9441865953881,50.264599869092706,16.31103920662314,319.6037077381926,study,True,False,3158,obj2start,1.0,407,1,1100.0,1380.0,1660.0,1645.9,1389.8,650.0,650.0,430.0,438.2,600.7
18,1,2.0,12.0,824,4016,,EFIX,12.0,,602.0802355168288,,362.2438543302012,,19.406442229321705,study,True,False,3194,obj3start,1.0,407,1,1100.0,1380.0,1660.0,,1653.0,650.0,650.0,430.0,,411.9
19,1,2.0,14.0,226,228,,EFIX,14.0,,470.29825642883264,,165.16794483191947,,480.98279595012554,study,True,False,4,obj2start,2.0,407,2,1380.0,820.0,1380.0,,917.8,430.0,650.0,650.0,,516.9
20,1,2.0,14.0,24,252,obj2end,ESACC,14.0,564.8556098685751,469.2177000071502,50.13840843106212,160.39092867116892,538.7409952843759,476.19875052335027,study,True,False,230,obj2start,2.0,407,2,1380.0,820.0,1380.0,843.1,920.5,430.0,650.0,650.0,605.5,525.0
21,1,2.0,14.0,486,738,,EFIX,14.0,,626.4730640658064,,36.44859393721519,,592.7297023095772,study,True,False,254,obj2start,2.0,407,2,1380.0,820.0,1380.0,,787.5,430.0,650.0,650.0,,633.5
22,1,2.0,14.0,46,784,obj1end,ESACC,14.0,19.96496932128864,649.4542324136474,582.0434691670374,62.66418434799901,217.0866186571618,618.9982229376753,study,True,False,740,obj2start,2.0,407,2,1380.0,820.0,1380.0,1360.4,761.4,430.0,650.0,650.0,433.8,627.8
23,1,2.0,14.0,208,992,,EFIX,14.0,,22.219360926903278,,582.0255149046303,,223.39583702477537,study,True,False,786,obj1start,2.0,407,2,1380.0,820.0,1380.0,,1357.9,430.0,650.0,650.0,,427.7
