,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,2.0,7.0,14,22,,blink,7.0,,394.1940638822457,,526.7532249545321,,208.9903347047418,study,10,screen,1.0,302,1,820.0,540.0,1100.0,,898.0,210.0,210.0,650.0,,596.4
1,1,2.0,7.0,230,252,screen,ESACC,7.0,422.39966856047596,376.81965182299086,551.6425291799029,516.2722634424592,196.9504506214698,210.41162040153583,study,24,screen,1.0,302,1,820.0,540.0,1100.0,904.8,902.4,210.0,210.0,650.0,623.8,577.7
2,1,2.0,7.0,132,384,,EFIX,7.0,,335.71221306351066,,482.11066157055683,,234.892933056744,study,254,screen,1.0,302,1,820.0,540.0,1100.0,,893.8,210.0,210.0,650.0,,537.5
3,1,2.0,7.0,40,424,obj2end,ESACC,7.0,152.22526071582212,314.9232922474931,151.85693925533988,460.6350833360394,567.0101674573393,254.60691271055472,study,386,screen,1.0,302,1,820.0,540.0,1100.0,679.8,881.8,210.0,210.0,650.0,269.3,518.8
4,1,2.0,7.0,224,648,,EFIX,7.0,,167.40967713964451,,129.28263611173773,,589.0415944566224,study,426,obj2start,1.0,302,1,820.0,540.0,1100.0,,659.8,210.0,210.0,650.0,,258.6
5,1,2.0,7.0,18,666,obj1end,ESACC,7.0,105.68751108811298,163.20226714111536,174.45300226708625,128.0116400957351,581.8263056961243,593.5882242767287,study,650,obj2start,1.0,302,1,820.0,540.0,1100.0,714.4,661.7,210.0,210.0,650.0,214.3,249.7
6,1,2.0,7.0,304,970,,EFIX,7.0,,93.5981303232068,,190.85232511027993,,557.5092914023944,study,668,obj1start,1.0,302,1,820.0,540.0,1100.0,,729.4,210.0,210.0,650.0,,233.5
7,1,2.0,7.0,38,1008,obj2end,ESACC,7.0,377.8254888172581,102.40395500174787,105.33802732157085,181.19208040088284,815.2742483361044,565.2738893669156,study,972,obj1start,1.0,302,1,820.0,540.0,1100.0,444.9,719.9,210.0,210.0,650.0,164.7,231.6
8,1,2.0,7.0,192,1200,,EFIX,7.0,,413.574950885568,,134.77477508792217,,832.7714212195325,study,1010,obj2start,1.0,302,1,820.0,540.0,1100.0,,407.0,210.0,210.0,650.0,,188.2
9,1,2.0,7.0,56,1256,obj3end,ESACC,7.0,558.2928443030593,410.3199239617789,717.1854014130516,131.00549606791313,92.75181938916337,827.1749754435273,study,1202,obj2start,1.0,302,1,820.0,540.0,1100.0,1041.9,410.0,210.0,210.0,650.0,722.3,193.8
10,1,2.0,7.0,220,1476,,EFIX,7.0,,573.555594515475,,731.8128312622019,,99.95008754373347,study,1258,obj3start,1.0,302,1,820.0,540.0,1100.0,,1048.9,210.0,210.0,650.0,,735.9
11,1,2.0,7.0,198,1674,screen,ESACC,7.0,485.36136022555405,554.9713956592718,585.6002476092373,712.483859466304,232.2405003439322,95.25360885551791,study,1478,obj3start,1.0,302,1,820.0,540.0,1100.0,871.7,1036.5,210.0,210.0,650.0,692.6,721.0
12,1,2.0,7.0,246,1920,,EFIX,7.0,,339.7225338419576,,482.24827630588794,,236.58275507737238,study,1676,screen,1.0,302,1,820.0,540.0,1100.0,,889.2,210.0,210.0,650.0,,542.6
13,1,2.0,7.0,24,1944,obj3end,ESACC,7.0,411.4170754842341,321.04043359053696,590.2609677083518,470.5857626405626,122.1474928109456,244.21908197354279,study,1922,screen,1.0,302,1,820.0,540.0,1100.0,999.9,891.4,210.0,210.0,650.0,580.0,523.0
14,1,2.0,7.0,308,2252,,EFIX,7.0,,461.75582291943,,633.632732740347,,86.63971375760651,study,1946,obj3start,1.0,302,1,820.0,540.0,1100.0,,1016.2,210.0,210.0,650.0,,628.0
15,1,2.0,7.0,52,2304,obj2end,ESACC,7.0,285.81625216211904,453.77042653747276,165.94857637232082,625.3347903323466,587.5941881945396,93.742199675493,study,2254,obj3start,1.0,302,1,820.0,540.0,1100.0,583.3,1010.6,210.0,210.0,650.0,370.2,621.8
16,1,2.0,7.0,244,2548,,EFIX,7.0,,266.63026834926296,,80.76942490819158,,646.8289572986046,study,2306,obj2start,1.0,302,1,820.0,540.0,1100.0,,564.7,210.0,210.0,650.0,,286.9
17,1,2.0,7.0,24,2572,obj2end,ESACC,7.0,350.61039630906555,269.12707035896625,70.65161003119464,58.1496345646299,770.480142508553,665.4783091882109,study,2550,obj2start,1.0,302,1,820.0,540.0,1100.0,469.4,556.7,210.0,210.0,650.0,207.3,265.7
18,1,2.0,7.0,202,2774,,EFIX,7.0,,381.7508218720688,,103.2554599040651,,805.7578358291032,study,2574,obj2start,1.0,302,1,820.0,540.0,1100.0,,438.8,210.0,210.0,650.0,,189.5
19,1,2.0,7.0,326,3100,obj2end,ESACC,7.0,175.67902549820795,379.62644797221384,166.85059184791646,101.37179094797527,545.4531327254432,804.6988505024722,study,2776,obj2start,1.0,302,1,820.0,540.0,1100.0,674.6,441.0,210.0,210.0,650.0,308.6,188.2
20,1,2.0,7.0,332,3432,,EFIX,7.0,,173.03655683120834,,109.89836213520202,,617.0750764696302,study,3102,obj2start,1.0,302,1,820.0,540.0,1100.0,,648.1,210.0,210.0,650.0,,229.8
21,1,2.0,7.0,16,3448,obj1end,ESACC,7.0,118.78707842185527,161.85481148239003,163.60430923420083,120.85106536559779,579.5915544588275,609.2659353681281,study,3434,obj2start,1.0,302,1,820.0,540.0,1100.0,702.6,659.3,210.0,210.0,650.0,228.1,229.3
22,1,2.0,7.0,226,3674,,EFIX,7.0,,118.82041070455867,,177.42122195498484,,552.7515626391299,study,3450,obj1start,1.0,302,1,820.0,540.0,1100.0,,711.0,210.0,210.0,650.0,,257.3
23,1,2.0,7.0,204,3878,screen,ESACC,7.0,466.2090625459783,123.0509244174947,516.3631377238308,171.03663350288446,332.8166011484403,558.9682728026698,study,3676,obj1start,1.0,302,1,820.0,540.0,1100.0,768.0,705.2,210.0,210.0,650.0,673.3,254.3
24,1,2.0,7.0,30,3908,,blink,7.0,,445.79722969080916,,404.5728240996917,,484.5030134065216,study,3880,screen,1.0,302,1,820.0,540.0,1100.0,,617.4,210.0,210.0,650.0,,607.1
25,1,2.0,7.0,108,4016,screen,ESACC,7.0,,447.4,,406.47602635333857,,484.13919486032114,study,3910,screen,1.0,302,1,820.0,540.0,1100.0,,617.6,210.0,210.0,650.0,,609.0
26,1,2.0,17.0,88,88,screen,ESACC,17.0,816.3544389540613,,710.7422669294405,,637.1927259471815,,study,2,screen,2.0,302,2,1660.0,260.0,540.0,902.4,,430.0,430.0,210.0,734.1,
27,1,2.0,17.0,160,248,,EFIX,17.0,,775.7432113786109,,667.6956866717053,,537.4918883108842,study,90,screen,2.0,302,2,1660.0,260.0,540.0,,904.3,430.0,430.0,210.0,,605.2
28,1,2.0,17.0,16,264,screen,ESACC,17.0,704.3212406281667,752.1151640540164,704.3212406281667,673.3477704722872,514.9217513370356,519.2005585513174,study,250,screen,2.0,302,2,1660.0,260.0,540.0,960.0,919.9,430.0,430.0,210.0,507.9,563.9
29,1,2.0,17.0,110,374,,EFIX,17.0,,705.8469026637434,,702.4669743126718,,512.6673872990167,study,266,screen,2.0,302,2,1660.0,260.0,540.0,,958.3,430.0,430.0,210.0,,506.4
30,1,2.0,17.0,52,426,obj2end,ESACC,17.0,1273.078167278035,709.715168218913,158.13924244159006,701.5808007635328,198.48430668443288,518.1849283798208,study,376,screen,2.0,302,2,1660.0,260.0,540.0,390.1,955.9,430.0,430.0,210.0,340.1,519.1
31,1,2.0,17.0,280,706,,EFIX,17.0,,1306.2379339155634,,157.66274131829624,,205.24507302247233,study,428,obj2start,2.0,302,2,1660.0,260.0,540.0,,359.5,430.0,430.0,210.0,,307.7
32,1,2.0,17.0,16,722,obj3end,ESACC,17.0,1254.1382898229367,1295.0875568856338,194.68654293504724,164.95993452956992,161.4275379233667,195.46810481508228,study,708,obj2start,2.0,302,2,1660.0,260.0,540.0,411.8,370.7,430.0,430.0,210.0,308.1,307.7
33,1,2.0,17.0,154,876,,EFIX,17.0,,1224.7640793230344,,207.1884407972607,,153.94495769592453,study,724,obj3start,2.0,302,2,1660.0,260.0,540.0,,439.6,430.0,430.0,210.0,,326.7
34,1,2.0,17.0,82,958,obj1end,ESACC,17.0,75.58736666930527,1213.7895122301888,1368.8949740575426,217.35910378909827,1097.7601969464918,146.15395991898407,study,878,obj3start,2.0,302,2,1660.0,260.0,540.0,1627.2,450.7,430.0,430.0,210.0,361.9,325.7
35,1,2.0,17.0,452,1410,,EFIX,17.0,,37.90158308039388,,1386.6493897160883,,1121.5134996958352,study,960,obj1start,2.0,302,2,1660.0,260.0,540.0,,1646.2,430.0,430.0,210.0,,394.7
36,1,2.0,17.0,282,1692,screen,ESACC,17.0,1637.9111117517946,81.10887744260793,365.17504022044005,1369.7221068523352,713.67276114477,1097.4017723696277,study,1412,obj1start,2.0,302,2,1660.0,260.0,540.0,49.5,1627.7,430.0,430.0,210.0,728.4,355.6
37,1,2.0,17.0,46,1738,,blink,17.0,,1623.1801501989853,,319.9903123533586,,672.2988918628381,study,1694,screen,2.0,302,2,1660.0,260.0,540.0,,55.6,430.0,430.0,210.0,,676.2
38,1,2.0,17.0,354,2092,screen,ESACC,17.0,1620.5134896075378,1624.481240273337,509.6900724950409,322.64423131368704,826.331634393843,674.8209392127662,study,1740,screen,2.0,302,2,1660.0,260.0,540.0,114.9,54.7,430.0,430.0,210.0,918.6,678.9
39,1,2.0,17.0,104,2196,,EFIX,17.0,,1538.0281206792029,,366.3475126160951,,686.0951100248419,study,2094,screen,2.0,302,2,1660.0,260.0,540.0,,163.1,430.0,430.0,210.0,,783.3
40,1,2.0,17.0,12,2208,screen,ESACC,17.0,1500.8791357068028,1508.2973347453744,192.34910969380644,240.08508908301653,537.976003182298,577.4918614145138,study,2198,screen,2.0,302,2,1660.0,260.0,540.0,168.7,168.1,430.0,430.0,210.0,599.3,651.8
41,1,2.0,17.0,70,2278,,EFIX,17.0,,1472.1355983740086,,107.06642797814824,,461.6180455744771,study,2210,obj2start,2.0,302,2,1660.0,260.0,540.0,,190.1,430.0,430.0,210.0,,511.1
42,1,2.0,17.0,16,2294,obj2end,ESACC,17.0,1461.9932215985134,1444.6004984077776,106.69667286284047,44.61614057714987,363.8188835121124,392.803513222578,study,2280,obj2start,2.0,302,2,1660.0,260.0,540.0,200.7,215.4,430.0,430.0,210.0,341.3,431.2
43,1,2.0,17.0,44,2338,,EFIX,17.0,,1470.0067788959343,,154.7899544544154,,352.10783859493955,study,2296,obj2start,2.0,302,2,1660.0,260.0,540.0,,196.8,430.0,430.0,210.0,,288.7
44,1,2.0,17.0,10,2348,screen,ESACC,17.0,1449.8816641367666,1460.9912799192198,210.13528975400584,182.68968224834154,315.25995622660355,333.36994465608325,study,2340,screen,2.0,302,2,1660.0,260.0,540.0,225.0,209.6,430.0,430.0,210.0,222.8,254.4
45,1,2.0,17.0,840,3188,,EFIX,17.0,,1470.1322729604979,,135.8267278557501,,359.7400450325207,study,2350,obj2start,2.0,302,2,1660.0,260.0,540.0,,194.7,430.0,430.0,210.0,,310.9
46,1,2.0,17.0,284,3472,obj2end,ESACC,17.0,1475.6975469248434,1454.1400826605393,127.91891963271105,83.4468693241394,479.5615184728649,367.16124523157396,study,3190,obj2start,2.0,302,2,1660.0,260.0,540.0,188.1,207.3,430.0,430.0,210.0,535.8,365.3
47,1,2.0,17.0,126,3598,,EFIX,17.0,,1498.1016153786097,,98.12466560452575,,436.34441671688666,study,3474,obj2start,2.0,302,2,1660.0,260.0,540.0,,161.9,430.0,430.0,210.0,,427.8
48,1,2.0,17.0,300,3898,screen,ESACC,17.0,1468.8317875100608,1507.829572597646,324.5717486165424,116.91886075394336,626.6153684677706,424.04011602677406,study,3600,obj2start,2.0,302,2,1660.0,260.0,540.0,227.1,152.9,430.0,430.0,210.0,752.9,383.1
49,1,2.0,17.0,118,4016,,EFIX,17.0,,1477.9603783593118,,158.13563798208173,,503.79249696675714,study,3900,obj2start,2.0,302,2,1660.0,260.0,540.0,,188.8,430.0,430.0,210.0,,571.2
50,1,2.0,15.0,186,186,screen,ESACC,15.0,520.3162884246466,,599.9008584757984,,832.8751647155773,,study,2,screen,3.0,302,3,1380.0,260.0,1660.0,859.8,,650.0,650.0,430.0,661.0,
51,1,2.0,15.0,148,334,,EFIX,15.0,,528.3780843297724,,610.2191409649488,,807.0436171608075,study,188,screen,3.0,302,3,1380.0,260.0,1660.0,,861.6,650.0,650.0,430.0,,547.8
