,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
21,1,2.0,6.0,434,1212,,EFIX,6.0,,154.52430229578775,,798.6023791599922,,214.1909428523998,study,False,False,780,obj1start,2.0,409,2,540.0,1100.0,540.0,,397.6,650.0,210.0,430.0,,590.0
22,1,2.0,6.0,30,1242,obj3end,ESACC,6.0,306.50288742522474,163.30707271885072,703.3633627080671,799.6781852720505,138.52082875871048,211.86127536668891,study,False,False,1214,obj1start,2.0,409,2,540.0,1100.0,540.0,415.1,391.8,650.0,210.0,430.0,370.1,581.4
23,1,2.0,6.0,210,1452,,EFIX,6.0,,320.1855711927069,,691.29935628496,,140.39515661161536,study,False,False,1244,obj3start,2.0,409,2,540.0,1100.0,540.0,,423.4,650.0,210.0,430.0,,351.8
24,1,2.0,6.0,10,1462,obj3end,ESACC,6.0,345.3451896291593,322.6532814028086,674.5126388734313,680.3301698440251,151.48366248543107,136.10709019004116,study,False,False,1454,obj3start,2.0,409,2,540.0,1100.0,540.0,434.7,433.3,650.0,210.0,430.0,321.1,345.5
25,1,2.0,6.0,434,1896,,EFIX,6.0,,356.09421506112676,,665.7229829290859,,156.95569438539016,study,False,False,1464,obj3start,2.0,409,2,540.0,1100.0,540.0,,441.5,650.0,210.0,430.0,,307.8
26,1,2.0,6.0,44,1940,obj2end,ESACC,6.0,649.3467794637932,358.429086431333,171.3103616247423,662.1777782438792,496.07584097595407,157.64329988933878,study,False,False,1898,obj3start,2.0,409,2,540.0,1100.0,540.0,943.2,444.6,650.0,210.0,430.0,141.0,304.5
27,1,2.0,6.0,996,2936,,EFIX,6.0,,717.6859619638661,,131.97401259338903,,571.045654917363,study,False,False,1942,obj2start,2.0,409,2,540.0,1100.0,540.0,,1013.3,650.0,210.0,430.0,,110.5
28,1,2.0,6.0,30,2966,obj2end,ESACC,6.0,832.0992308613197,717.241751433922,120.32094580745279,114.31417234971346,719.9174466562121,575.172782735762,study,False,False,2938,obj2start,2.0,409,2,540.0,1100.0,540.0,1200.8,1026.2,650.0,210.0,430.0,144.3,122.7
29,1,2.0,6.0,434,3400,,EFIX,6.0,,856.3503605417586,,148.32376748181656,,749.9306234579302,study,False,False,2968,obj2start,2.0,409,2,540.0,1100.0,540.0,,1236.3,650.0,210.0,430.0,,151.5
30,1,2.0,6.0,58,3458,obj3end,ESACC,6.0,327.7565254880519,853.4586164542484,661.3624875966281,145.1881882248001,130.73767628346468,746.7741358670638,study,False,False,3402,obj2start,2.0,409,2,540.0,1100.0,540.0,450.5,1233.1,650.0,210.0,430.0,334.7,152.0
