,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart
0,1,2.0,2.0,368,370,,EFIX,2.0,,728.1708178717408,,173.64544336088983,,675.3019620880722,study,4,obj2start,1.0,411,1,260.0,820.0,1660.0,,986.5,430.0,430.0,430.0,,479.3
1,1,2.0,2.0,22,392,obj2end,ESACC,2.0,631.1265562468434,717.7412625730807,73.65276641104523,165.16815673730818,769.4678225890931,686.6385657680465,study,372,obj2start,1.0,411,1,260.0,820.0,1660.0,890.8,975.6,430.0,430.0,430.0,450.3,485.4
2,1,2.0,2.0,286,678,,EFIX,2.0,,597.1050493841096,,38.657987531686125,,803.0781033000463,study,394,obj2start,1.0,411,1,260.0,820.0,1660.0,,857.0,430.0,430.0,430.0,,418.8
3,1,2.0,2.0,12,690,obj2end,ESACC,2.0,587.6359161930114,589.749116150249,89.9109003402813,63.84371543072972,823.5508302466825,815.1588924866121,study,680,obj2start,1.0,411,1,260.0,820.0,1660.0,841.1,846.9,430.0,430.0,430.0,342.6,372.1
4,1,2.0,2.0,168,858,,EFIX,2.0,,575.6506058365612,,88.34941991886532,,835.7353767790377,study,692,obj2start,1.0,411,1,260.0,820.0,1660.0,,828.9,430.0,430.0,430.0,,342.1
5,1,2.0,2.0,48,906,obj1end,ESACC,2.0,124.49116434510526,575.644482297885,633.3356535045219,96.20067567330281,1468.1750747100973,837.9060627540536,study,860,obj2start,1.0,411,1,260.0,820.0,1660.0,195.7,827.6,430.0,430.0,430.0,323.4,334.1
6,1,2.0,2.0,758,1664,,EFIX,2.0,,119.22352955687899,,625.0169997688063,,1459.895287340842,study,908,obj1start,1.0,411,1,260.0,820.0,1660.0,,203.9,430.0,430.0,430.0,,324.8
7,1,2.0,2.0,184,1848,obj3end,ESACC,2.0,1424.9539536420116,113.9510859974577,864.9888843216427,619.800653436248,27.816721589720164,1454.958710754364,study,1666,obj1start,1.0,411,1,260.0,820.0,1660.0,1684.9,208.6,430.0,430.0,430.0,417.6,328.3
8,1,2.0,2.0,1988,3836,,EFIX,2.0,,1430.8494854456217,,872.2306174401355,,83.48802309313594,study,1850,obj3start,1.0,411,1,260.0,820.0,1660.0,,1688.7,430.0,430.0,430.0,,351.6
9,1,2.0,2.0,54,3890,obj2end,ESACC,2.0,705.231564806908,1439.9990590274704,175.38403576152535,881.5879366234545,711.9491273960521,92.72157246293875,study,3838,obj3start,1.0,411,1,260.0,820.0,1660.0,956.6,1697.5,430.0,430.0,430.0,320.0,345.2
