,block,cond,cuecond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,manip_accuracy,all_accuracy,dom_accuracy
0,1,1.0,0,2.0,192,326,,EFIX,2.0,,705.2439294315124,,187.17104476921637,,543.235676295289,study,False,False,136,screen,1.0,424,1,260.0,1100.0,1380.0,,955.2,430.0,430.0,210.0,,548.6,True,False,False
1,1,1.0,0,2.0,22,348,obj2end,ESACC,2.0,778.7161806460682,704.4828173915955,84.51561985810666,185.19190047083595,440.4893755812959,541.2800014779782,study,False,False,328,screen,1.0,424,1,260.0,1100.0,1380.0,1036.7,955.0,430.0,430.0,210.0,486.0,545.2,True,False,False
2,1,1.0,0,2.0,168,516,,EFIX,2.0,,806.1241405639704,,64.90092449264496,,418.15323746205775,study,False,False,350,obj2start,1.0,424,1,260.0,1100.0,1380.0,,1064.3,430.0,430.0,210.0,,484.2,True,False,False
3,1,1.0,0,2.0,10,526,obj2end,ESACC,2.0,830.3015416100346,815.742146759624,33.23627536292237,51.7228189487,384.1570642328473,404.41964591251,study,False,False,518,obj2start,1.0,424,1,260.0,1100.0,1380.0,1089.7,1074.5,430.0,430.0,210.0,461.6,475.0,True,False,False
4,1,1.0,0,2.0,70,596,,EFIX,2.0,,835.9055688293982,,23.024334952393346,,373.8156230015006,study,False,False,528,obj2start,1.0,424,1,260.0,1100.0,1380.0,,1095.6,430.0,430.0,210.0,,452.6,True,False,False
5,1,1.0,0,2.0,64,660,obj1end,ESACC,2.0,26.752383071420013,832.5237414032106,866.0229154012035,20.779316639389304,1168.1299970465616,374.2135486590511,study,False,False,598,obj2start,1.0,424,1,260.0,1100.0,1380.0,234.0,1092.3,430.0,430.0,210.0,436.3,449.3,True,False,False
6,1,1.0,0,2.0,1368,2028,,EFIX,2.0,,31.228512612674955,,860.4319961507707,,1156.8419165988064,study,False,False,662,obj1start,1.0,424,1,260.0,1100.0,1380.0,,239.9,430.0,430.0,210.0,,406.1,True,False,False
7,1,1.0,0,2.0,64,2092,obj2end,ESACC,2.0,802.2748718487946,32.54842546114943,50.56649088081954,865.4452033491202,369.30335768849983,1162.4299548790027,study,False,False,2030,obj1start,1.0,424,1,260.0,1100.0,1380.0,1061.6,234.8,430.0,430.0,210.0,397.1,409.4,True,False,False
8,1,1.0,0,2.0,222,2314,,EFIX,2.0,,819.9782009297564,,34.70230539892127,,356.60096746924285,study,False,False,2094,obj2start,1.0,424,1,260.0,1100.0,1380.0,,1079.5,430.0,430.0,210.0,,402.0,True,False,False
9,1,1.0,0,2.0,10,2324,obj2end,ESACC,2.0,847.1866441345734,825.8420006272386,37.056848219998436,38.039584645471656,329.43771793770054,348.12499192100535,study,False,False,2316,obj2start,1.0,424,1,260.0,1100.0,1380.0,1106.4,1085.1,430.0,430.0,210.0,393.5,395.0,True,False,False
