,block,cond,dom_resp,duration,end,endloc,event,loc1,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,manip_accuracy,all_accuracy
0,1,2.0,3.0,198,252,,EFIX,3.0,,771.9803948287806,,697.8665560119643,,447.4211997659477,study,False,False,56,screen,1.0,308,1,260.0,1660.0,1380.0,,1007.8,650.0,210.0,210.0,,458.3,True,False
1,1,2.0,3.0,32,284,screen,ESACC,3.0,646.789185129127,769.0806199612625,823.5388576138955,701.2310603502957,556.5395313901789,451.5362665390234,study,False,False,254,screen,1.0,308,1,260.0,1660.0,1380.0,862.0,1006.0,650.0,210.0,210.0,413.5,463.0,True,False
2,1,2.0,3.0,100,384,,EFIX,3.0,,629.3544947007211,,843.3688872610845,,574.4763528640669,study,False,False,286,screen,1.0,308,1,260.0,1660.0,1380.0,,839.2,650.0,210.0,210.0,,403.8,True,False
3,1,2.0,3.0,48,432,obj1end,ESACC,3.0,112.2540422434756,624.2387363821633,1483.1699059784082,848.1945531539329,1212.1588056026324,579.5118635541468,study,False,False,386,screen,1.0,308,1,260.0,1660.0,1380.0,215.6,835.0,650.0,210.0,210.0,546.9,407.0,True,False
4,1,2.0,3.0,178,610,,EFIX,3.0,,109.65751228256092,,1489.225560484375,,1218.4123973433625,study,False,False,434,obj1start,1.0,308,1,260.0,1660.0,1380.0,,210.6,650.0,210.0,210.0,,552.1,True,False
5,1,2.0,3.0,78,688,obj3end,ESACC,3.0,1208.4737150637577,111.91429756737968,276.65270647510386,1491.4814145674093,6.38122245341758,1220.5723288687157,study,False,False,612,obj1start,1.0,308,1,260.0,1660.0,1380.0,1383.4,208.0,650.0,210.0,210.0,204.6,550.9,True,False
6,1,2.0,3.0,380,1068,,EFIX,3.0,,1223.9857025308752,,267.7554854713531,,26.17250465660482,study,False,False,690,obj3start,1.0,308,1,260.0,1660.0,1380.0,,1393.2,650.0,210.0,210.0,,187.4,True,False
7,1,2.0,3.0,30,1098,obj2end,ESACC,3.0,1371.5130404046474,1222.5802223167198,108.25904119287229,269.3666646042157,173.94257673151782,25.58124312851114,study,False,False,1070,obj3start,1.0,308,1,260.0,1660.0,1380.0,1553.1,1391.6,650.0,210.0,210.0,192.9,187.2,True,False
8,1,2.0,3.0,198,1296,,EFIX,3.0,,1397.3888542563948,,76.31258087628802,,204.11665782096276,study,False,False,1100,obj2start,1.0,308,1,260.0,1660.0,1380.0,,1584.0,650.0,210.0,210.0,,203.1,True,False
9,1,2.0,3.0,36,1332,obj3end,ESACC,3.0,1096.9030677320582,1392.2271438238806,373.17601745021074,80.15247968715619,113.93129508611759,199.92103441108952,study,False,False,1298,obj2start,1.0,308,1,260.0,1660.0,1380.0,1294.5,1579.9,650.0,210.0,210.0,285.3,207.1,True,False
10,1,2.0,3.0,222,1554,,EFIX,3.0,,1065.0245302339285,,403.1640484963905,,149.95082527282062,study,False,False,1334,obj3start,1.0,308,1,260.0,1660.0,1380.0,,1269.9,650.0,210.0,210.0,,311.8,True,False
11,1,2.0,3.0,52,1606,screen,ESACC,3.0,439.0223798395704,1053.8177688765738,1030.423529428555,413.7969187898817,764.3328136355261,165.25099091987315,study,False,False,1556,obj3start,1.0,308,1,260.0,1660.0,1380.0,667.2,1263.0,650.0,210.0,210.0,485.9,326.7,True,False
12,1,2.0,3.0,498,2104,,EFIX,3.0,,421.32178913509796,,1048.3129542269332,,782.0793118348037,study,False,False,1608,screen,1.0,308,1,260.0,1660.0,1380.0,,649.8,650.0,210.0,210.0,,490.1,True,False
13,1,2.0,3.0,74,2178,obj3end,ESACC,3.0,1108.9579838749528,426.3000117288293,358.58026995360467,1044.139693719188,126.56938808416511,777.3054097328796,study,False,False,2106,screen,1.0,308,1,260.0,1660.0,1380.0,1319.0,652.1,650.0,210.0,210.0,320.9,482.7,True,False
14,1,2.0,3.0,140,2318,,EFIX,3.0,,1131.0318297908332,,336.88128472801816,,98.31073186585485,study,False,False,2180,obj3start,1.0,308,1,260.0,1660.0,1380.0,,1334.6,650.0,210.0,210.0,,297.2,True,False
15,1,2.0,3.0,22,2340,obj3end,ESACC,3.0,1191.8191809163,1137.8911063893595,286.4698238907547,330.0729767793782,17.463103962354463,93.01704144940318,study,False,False,2320,obj3start,1.0,308,1,260.0,1660.0,1380.0,1374.0,1340.9,650.0,210.0,210.0,226.4,294.4,True,False
16,1,2.0,3.0,170,2510,,EFIX,3.0,,1211.3923311627823,,282.8698994237457,,25.75616431070433,study,False,False,2342,obj3start,1.0,308,1,260.0,1660.0,1380.0,,1378.3,650.0,210.0,210.0,,184.3,True,False
17,1,2.0,3.0,32,2542,obj2end,ESACC,3.0,1420.3216994751576,1217.6053629973876,59.81412876570213,274.87237038305625,224.6101734116245,23.89183961104709,study,False,False,2512,obj3start,1.0,308,1,260.0,1660.0,1380.0,1603.7,1386.1,650.0,210.0,210.0,189.8,186.9,True,False
18,1,2.0,3.0,224,2766,,EFIX,3.0,,1445.858098154864,,34.77987924073342,,251.73327153954043,study,False,False,2544,obj2start,1.0,308,1,260.0,1660.0,1380.0,,1631.0,650.0,210.0,210.0,,190.8,True,False
19,1,2.0,3.0,30,2796,obj3end,ESACC,3.0,1264.226312809538,1436.8442539120238,233.82936085958076,40.01762111870211,63.656657153827915,243.36271283826545,study,False,False,2768,obj2start,1.0,308,1,260.0,1660.0,1380.0,1429.6,1622.9,650.0,210.0,210.0,170.1,195.0,True,False
20,1,2.0,3.0,446,3242,,EFIX,3.0,,1224.5375453615131,,277.62600742725823,,42.56994244769422,study,False,False,2798,obj3start,1.0,308,1,260.0,1660.0,1380.0,,1385.6,650.0,210.0,210.0,,167.8,True,False
21,1,2.0,3.0,84,3326,obj1end,ESACC,3.0,79.13696986870295,1200.4613196600715,1519.3125616541188,304.4525907263723,1251.1876997477239,48.61460685843296,study,False,False,3244,obj3start,1.0,308,1,260.0,1660.0,1380.0,193.5,1358.7,650.0,210.0,210.0,607.1,166.3,True,False
22,1,2.0,3.0,552,3878,,EFIX,3.0,,97.8719571685373,,1538.0282572176623,,1269.4230658058802,study,False,False,3328,obj1start,1.0,308,1,260.0,1660.0,1380.0,,173.4,650.0,210.0,210.0,,604.4,True,False
23,1,2.0,3.0,94,3972,obj2end,ESACC,3.0,1385.1491796914872,106.85434010839242,82.40297324732884,1552.3665321050953,201.94615619020834,1283.925951914673,study,False,False,3880,obj1start,1.0,308,1,260.0,1660.0,1380.0,1580.7,160.4,650.0,210.0,210.0,232.4,611.3,True,False
24,1,2.0,3.0,42,4014,,EFIX,3.0,,1401.1134786304783,,67.99249958635149,,212.3934556430588,study,False,False,3974,obj2start,1.0,308,1,260.0,1660.0,1380.0,,1592.3,650.0,210.0,210.0,,216.3,True,False
25,1,2.0,12.0,226,228,,EFIX,12.0,,452.7620677574481,,993.4674076183879,,145.81320242008272,study,True,False,4,obj3start,2.0,308,2,1100.0,1660.0,820.0,,681.8,650.0,650.0,430.0,,476.5,True,True
26,1,2.0,12.0,24,252,obj3end,ESACC,12.0,414.4554620221575,458.10790213660357,926.8858236050437,996.5896096187237,59.57625365865166,143.89874912590446,study,True,False,230,obj3start,2.0,308,2,1100.0,1660.0,820.0,766.3,680.6,650.0,650.0,430.0,404.2,465.7,True,True
27,1,2.0,12.0,140,392,,EFIX,12.0,,407.7506713667067,,903.6219397513541,,59.19974662107939,study,True,False,254,obj3start,2.0,308,2,1100.0,1660.0,820.0,,799.4,650.0,650.0,430.0,,374.5,True,True
28,1,2.0,12.0,36,428,obj1end,ESACC,12.0,126.00571415614452,400.8590400627133,575.1707920261599,896.3570549730726,294.220053701307,54.40560632875992,study,True,False,394,obj3start,2.0,308,2,1100.0,1660.0,820.0,1098.8,806.1,650.0,650.0,430.0,524.0,377.4,True,True
29,1,2.0,12.0,376,804,,EFIX,12.0,,117.96355369350312,,532.9722319220768,,336.78984545262045,study,True,False,430,obj1start,2.0,308,2,1100.0,1660.0,820.0,,1138.8,650.0,650.0,430.0,,538.6,True,True
30,1,2.0,12.0,52,856,obj2end,ESACC,12.0,597.1429728297906,95.50382191305225,67.55538468545645,514.603711607291,889.1455055276385,359.9180184430894,study,True,False,806,obj1start,2.0,308,2,1100.0,1660.0,820.0,1694.3,1151.7,650.0,650.0,430.0,591.8,569.7,True,True
