SUBID,PIC,CONDITION,B_BT1 dist,B_R dist,BT1_R dist,B_BT2 dist,BT1_BT2 dist,BT2_R dist,ErrorD1-3,ErrorD2-3,ErrorD1-2,T1bias-accuracy,T2bias-accuracy,B_pract,280pix,Day1mem_RR,Day2mem_RR,Day3mem_RR,ConSuccess_RR,Day-3R,RC Day1mem,Day-2T1,Day-3T1,NR Day1mem,t1biasdiff_RR,t2biasdiff_RR,r order,t2worset3,ridworset3
401,8,1,17.46425,20.24846,30.8707,65.8559,77.17513,46.61545,48.39165,45.60745,2.784208,11.31922,-19.24046,2,1,1,2,3,0,5,0,7,8,0,0,0,24,0,0
401,153,1,24.69818,105.8017,84,26.24881,33.24154,93.98404,1.550631,-79.55289,81.10352,6.992731,67.73523,6,1,1,2,3,4,0,0,0,8,0,0,0,120,1,1
401,171,1,28.42534,483.8202,509.433,219.2761,247.5035,286.0559,190.8507,-264.5441,455.3949,28.22745,66.77986,8,1,1,0,0,0,0,0,0,0,0,0,0,26,1,1
401,114,1,34.53983,325,297.8892,207.0676,185.8279,129.4681,172.5278,-117.9324,290.4602,-21.23974,-77.59948,2,1,1,0,0,0,0,0,0,0,0,0,13,13,1,0
401,60,1,38.07887,97.50897,107.3778,337.5159,300.015,373.0483,299.4371,240.007,59.43011,-37.50093,35.53233,2,1,1,2,0,0,0,0,0,0,0,12,0,75,0,1
401,85,1,43.41659,13.0384,31.257,16.27882,30,4.123106,-27.13777,3.240416,-30.37818,13.72118,-12.15571,4,1,1,2,3,4,5,0,7,8,0,0,0,84,0,0
401,33,1,45.96738,325.0415,357.0504,108.5035,97.58074,430.6333,62.53608,-216.5381,279.0742,-10.92272,322.1298,2,1,1,0,3,0,0,0,0,0,0,0,0,144,1,1
401,55,1,48.8467,196.3084,222.1734,230.2086,270.6326,103.0776,181.3619,33.90017,147.4617,40.42399,-127.131,3,1,1,0,0,0,0,0,0,0,0,0,13,74,0,0
401,49,1,51.08816,52.20153,21.09502,126.8267,88.00568,106.6771,75.73849,74.62512,1.113373,-38.82097,-20.14957,4,1,1,2,3,0,0,0,7,8,0,12,0,109,0,0
401,17,1,63.32456,63.56099,65.06919,92.91394,89.04493,30.01666,29.58938,29.35294,0.2364335,-3.869006,-62.89728,2,1,1,2,3,0,5,0,7,8,0,0,13,50,0,0
401,155,1,70.25667,75.16648,35.69314,63.13478,29.15476,12.80625,-7.121896,-12.03171,4.90981,-33.98002,-50.32853,3,1,1,2,3,4,5,0,7,8,0,12,13,11,1,0
401,179,1,78.51751,117.4266,39.01282,87.66413,22.36068,40.81666,9.146618,-29.76244,38.90906,-65.30345,-46.84747,2,1,1,2,3,4,5,0,7,8,0,12,0,71,1,0
401,111,1,84.64632,29.73214,61.32699,65.29931,36.34556,36.05551,-19.34701,35.56717,-54.91419,-28.95375,-29.2438,2,1,1,2,3,4,5,0,7,8,0,12,0,30,0,0
401,70,1,89.10668,63.50591,25.70992,83.63014,48.02083,47,-5.47654,20.12423,-25.60077,-35.60931,-36.63014,2,1,1,2,3,4,5,0,7,8,0,12,0,72,0,0
401,27,1,100.1699,166.9042,217.8922,367.0668,429.9581,212.2192,266.8969,200.1626,66.73431,62.89139,-154.8475,4,1,0,0,0,0,0,0,0,0,0,0,13,133,0,0
401,121,1,110.982,494.8535,423.987,390.0372,331.0015,112.9292,279.0552,-104.8163,383.8715,-59.03567,-277.108,4,1,0,0,0,0,0,0,0,0,0,12,13,96,1,0
401,62,1,113.4416,185.1729,298.5431,37.12142,76.32169,222.2724,-76.32019,-148.0515,71.73128,39.20027,185.1509,5,1,0,0,3,4,0,0,0,8,0,0,0,42,1,1
401,138,1,139.6066,154.1752,15.23155,133.094,18.97367,31.241,-6.512638,-21.08127,14.56863,-114.1203,-101.853,3,1,0,0,3,4,5,0,7,8,0,12,13,27,1,0
401,139,1,158.373,56.0357,167.4097,102.8834,138.3221,61.03278,-55.48955,46.84773,-102.3373,35.43866,-41.85065,2,1,0,2,3,4,0,0,0,0,0,0,0,136,0,0
401,167,1,200.4221,175.1913,76.92204,189.3911,21.40093,88.52683,-11.03092,14.19981,-25.23073,-167.9902,-100.8643,6,1,0,0,0,4,0,0,7,8,0,12,13,138,0,0
401,45,1,207.3692,288.7248,115.1694,239.0816,161.5488,113.8859,31.71234,-49.64321,81.35555,-77.53282,-125.1957,2,1,0,0,0,0,0,0,0,0,0,12,13,39,1,0
401,26,1,235.8665,391.8992,191.5098,333.4247,424.4443,438.1244,97.55817,-58.47457,156.0327,91.01969,104.6998,3,1,0,0,0,0,0,0,0,0,0,0,0,59,1,1
401,158,1,248.7931,246.5948,363.8805,406.0739,377.9021,225.1777,157.2808,159.4791,-2.198277,-28.17178,-180.8962,2,1,0,0,0,0,0,0,0,0,0,12,13,107,0,0
401,148,1,284.5417,377.6308,105.513,396.5476,145.0034,51.31277,112.0059,18.91683,93.08904,-251.5442,-345.2348,2,0,0,0,0,0,0,0,0,0,0,12,13,112,0,0
401,31,1,360.8933,236.7805,124.3262,344.6505,218.0734,200.8009,-16.24279,107.8701,-124.1128,-126.5772,-143.8497,8,0,0,0,0,4,0,0,0,0,0,12,13,38,0,0
401,11,1,379.0119,343.4021,142.0035,365.6364,119.6829,31.38471,-13.37544,22.23433,-35.60978,-245.9535,-334.2517,5,0,0,0,0,4,5,0,0,0,0,12,13,103,0,0
401,71,1,420.2594,318.4023,324.4842,351.2051,325.3567,33.24154,-69.05438,32.80281,-101.8572,-25.84834,-317.9635,2,0,0,0,0,4,5,0,0,0,0,12,13,8,0,0
401,54,1,465.2827,467.5468,12,475.6354,15,24.18677,10.35265,8.088575,2.264079,-460.6354,-451.4486,2,0,0,0,0,4,5,0,7,8,0,12,13,87,0,0
401,65,1,552.8698,78.72103,477.1624,179.8249,427.5512,147.2005,-373.0449,101.1039,-474.1488,247.7263,-32.62437,3,0,0,2,0,4,0,0,0,0,0,0,0,48,0,0
401,41,1,13.41641,44.92215,37.01351,47.50789,37,11.18034,34.09149,2.585739,31.50575,-10.50789,-36.32755,2,1,1,2,3,0,5,0,7,8,0,0,0,78,0,0
401,78,1,22.84732,119.3315,140.0357,181.4166,204.0049,110.9234,158.5693,62.08518,96.48415,22.58825,-70.49325,4,1,1,2,0,0,0,0,0,0,0,0,13,25,0,0
401,176,1,22.67157,29.41088,45.39824,27.16616,47.53946,12.04159,4.494587,-2.244727,6.739314,20.3733,-15.12456,5,1,1,2,3,4,5,0,7,8,0,0,0,80,1,0
401,43,1,27.65863,56.75385,37.65634,57.70615,40.80441,5.385165,30.04752,0.9522977,29.09522,-16.90174,-52.32099,4,1,1,2,3,0,5,0,7,8,0,0,13,67,0,0
401,173,1,31.57531,17.02939,14.86607,24.08319,8.062258,7.071068,-7.492118,7.053803,-14.54592,-16.02093,-17.01212,5,1,1,2,3,4,5,0,7,8,0,0,0,111,0,0
401,150,1,40.0125,8.246211,42.57934,15.13275,55.00909,14.31782,-24.87975,6.886535,-31.76629,39.87634,-0.8149249,2,1,1,2,3,4,5,0,7,8,0,0,0,53,0,0
401,88,1,44.27189,5.830952,40.02499,31.14482,65.37584,30.52868,-13.12706,25.31387,-38.44094,34.23101,-0.616148,3,1,1,2,3,4,5,0,7,8,0,0,0,65,0,0
401,93,1,45.61798,150.9603,106.3015,152.1217,106.7801,39.92493,106.5037,1.161402,105.3423,-45.34151,-112.1967,2,1,1,0,3,0,5,0,0,0,0,12,13,86,0,0
401,157,1,50.80354,236.0275,271.9743,251.5432,286.1486,17.69181,200.7397,15.5157,185.224,34.60533,-233.8514,5,1,1,0,0,0,5,0,0,0,0,0,13,7,0,0
401,136,1,52.47857,81.8352,37.48333,38.20995,71.00704,85,-14.26862,-43.62525,29.35663,32.7971,46.79005,3,1,1,2,3,4,0,0,7,8,0,0,0,20,1,1
401,132,1,63.28507,140.8013,149.0503,116.4174,84.8646,89.81091,53.13228,-24.38393,77.51621,-31.55275,-26.60644,2,1,1,0,3,0,0,0,0,8,0,12,0,3,1,0
401,50,1,72.94518,187.1069,163.2176,185.914,173.5195,29.20616,112.9688,-1.192963,114.1617,-12.39451,-156.7078,2,1,1,0,0,0,5,0,0,0,0,0,13,82,1,0
401,77,1,74.09453,99.40322,28.01785,72.91776,8.544004,26.57066,-1.176772,-26.48546,25.30869,-64.37376,-46.3471,2,1,1,2,3,4,5,0,7,8,0,12,0,104,1,0
401,21,1,82.807,103.8123,28,160.1125,89,93.30059,77.30546,56.30013,21.00533,-71.11246,-66.81187,2,1,1,2,0,0,0,0,7,8,0,12,13,145,0,0
401,115,1,97.02062,60.20797,37.12142,67,30.06659,8.602325,-30.02062,6.792027,-36.81264,-36.93341,-58.39767,2,1,1,2,3,4,5,0,7,8,0,12,13,2,0,0
401,178,1,104.8904,433.4167,345.1724,149.0403,48.83646,329.7347,44.14984,-284.3764,328.5262,-100.2038,180.6945,5,1,0,0,3,0,0,0,0,8,0,12,0,32,1,1
401,4,1,110.6797,64.40497,69.12308,61.26989,80.52329,11.40175,-49.40982,-3.135074,-46.27475,19.25339,-49.86814,2,1,0,2,3,4,5,0,7,8,0,0,0,148,1,0
401,91,1,126.5741,133.4166,29.68164,222.3016,252.24,228.6001,95.72751,88.88496,6.842552,29.93837,6.298491,2,1,0,2,0,0,0,0,7,0,0,0,0,5,0,1
401,142,1,135,126.1784,41.78516,152.7383,49.0306,26.57066,17.73834,26.55989,-8.821555,-103.7077,-126.1677,3,1,0,2,3,0,5,0,7,8,0,12,13,54,0,0
401,162,1,160.4151,145.1137,21.37756,139.6066,26.24881,5.656854,-20.8085,-5.507158,-15.30134,-113.3578,-133.9497,4,1,0,0,3,4,5,0,7,8,0,12,13,116,1,0
401,87,1,170.552,164.3472,29.15476,212.8497,45.61798,68.593,42.29767,48.50252,-6.204851,-167.2317,-144.2567,3,1,0,0,0,0,0,0,7,8,0,12,13,105,0,0
401,156,1,203.5927,398.3215,564.1507,320.7398,497.775,85.14693,117.147,-77.58171,194.7287,177.0353,-235.5928,6,1,0,0,0,0,0,0,0,0,0,0,13,73,1,0
401,23,1,223.486,213.6773,36.05551,255.2254,46.06517,41.78516,31.73937,41.54806,-9.808691,-209.1602,-213.4402,4,1,0,0,0,0,5,0,7,8,0,12,13,1,0,0
401,163,1,254.8666,255.8945,80.1561,263.2109,97.02062,17.26268,8.34431,7.316433,1.027878,-166.1903,-245.9483,4,1,0,0,0,4,5,0,0,0,0,12,13,76,0,0
401,164,1,264.4636,261.8129,4.123106,270.0463,5.656854,8.544004,5.582684,8.233382,-2.650698,-264.3894,-261.5023,2,1,0,0,0,4,5,0,7,8,0,12,13,22,0,0
401,161,1,325.6133,234.7765,150.8642,244.0082,100.1798,56.32051,-81.60507,9.231707,-90.83678,-143.8284,-187.6877,2,0,0,0,0,4,0,0,0,0,0,12,13,44,0,0
401,130,1,363.4116,169.3665,199.4919,270.4404,103.7401,101.4347,-92.97123,101.0739,-194.0451,-166.7003,-169.0057,3,0,0,0,0,4,0,0,0,0,0,12,13,98,0,0
401,133,1,436.4505,431.2076,6.082763,554.4231,118.6002,124.1974,117.9727,123.2155,-5.242849,-435.823,-430.2257,2,0,0,0,0,0,0,0,7,0,0,12,13,33,0,0
401,166,1,495.5815,408.589,103.9423,347.5083,534.2106,432.0289,-148.0732,-61.08076,-86.99244,186.7024,84.52066,4,0,0,0,0,4,0,0,0,0,0,0,0,83,1,1
401,35,1,556.3857,548.5125,12.20656,133.4541,528.0237,518.139,-422.9315,-415.0584,-7.873124,394.5696,384.6849,4,0,0,0,3,4,0,0,7,0,0,0,0,10,1,1
401,32,1,15.81139,58.21512,44.14748,72.18033,58.13777,54.23099,56.36894,13.96521,42.40373,-14.04256,-17.94934,4,1,1,2,3,0,0,0,7,8,0,0,0,36,0,0
401,134,1,16.76305,28.17801,20.12461,27.89265,16.27882,6.324555,11.1296,-0.2853542,11.41495,-11.61383,-21.5681,3,1,1,2,3,4,5,0,7,8,0,0,0,100,1,0
401,82,1,23.5372,35.22783,12.04159,26.4764,10.44031,12.72792,2.9392,-8.751425,11.69063,-16.0361,-13.74848,2,1,1,2,3,4,5,0,7,8,0,0,0,115,1,0
401,18,1,29.69848,48.25971,31.38471,46.57252,25.63201,7.615773,16.87404,-1.68719,18.56123,-20.94051,-38.95675,5,1,1,2,3,0,5,0,7,8,0,0,0,102,1,0
401,125,1,31.14482,35,5,30.14963,6.082763,5.830952,-0.9951961,-4.850373,3.855177,-24.06686,-24.31867,8,1,1,2,3,4,5,0,7,8,0,0,0,49,1,0
401,143,1,36.24914,394.924,409.044,187.4807,197.3651,212.7628,151.2315,-207.4434,358.6749,9.884478,25.28211,6,1,1,0,0,0,0,0,0,0,0,0,0,64,1,1
401,10,1,44.94441,37.05401,42.05948,59.03389,15.13275,56.08921,14.08948,21.97987,-7.890395,-43.90114,-2.944674,2,1,1,2,3,0,0,0,7,8,0,12,0,118,0,0
401,113,1,45.35416,44.28318,16,56.63921,49.0408,33.06055,11.28505,12.35603,-1.070982,-7.59841,-23.57866,2,1,1,2,3,4,5,0,7,8,0,0,0,41,0,0
401,84,1,49.64877,97.08244,53.85165,63.12686,20,34.9285,13.47809,-33.95558,47.43367,-43.12686,-28.19836,6,1,1,2,3,0,5,0,7,8,0,12,0,117,1,0
401,108,1,52.80152,40.71855,40.5216,53.00943,21.58703,24.08319,0.207918,12.29089,-12.08297,-31.4224,-28.92624,3,1,1,2,3,4,5,0,7,8,0,12,0,63,0,0
401,28,1,58.0517,65.80274,10,96.88137,83.54639,91.21403,38.82967,31.07864,7.751034,-13.33498,-5.667337,2,1,1,2,3,0,0,0,7,8,0,0,0,130,0,0
401,110,1,68.60029,51.92302,49.81967,25.17936,50.9902,27.313,-43.42093,-26.74366,-16.67727,25.81084,2.133644,3,1,1,2,3,4,5,0,7,8,0,0,0,85,1,1
401,135,1,79.40403,44.38468,35.1141,44.38468,35.51056,6.324555,-35.01935,0,-35.01935,-8.87412,-38.06013,4,1,1,2,3,4,5,0,7,8,0,0,0,14,0,0
401,165,1,79.05694,119.4027,46.01087,112.5789,43.17407,9.848858,33.52192,-6.823819,40.34574,-69.40479,-102.73,2,1,1,2,3,0,5,0,7,8,0,12,13,43,1,0
401,131,1,94.64143,386.7738,457.6647,385.7525,458,9.219544,291.1111,-1.021324,292.1324,72.24749,-376.533,5,1,1,0,0,0,5,0,0,0,0,0,13,110,1,0
401,12,1,101.0198,258.0174,186.6012,231.9698,175.5705,44.68781,130.95,-26.04762,156.9976,-56.39933,-187.282,2,1,0,0,0,0,5,0,0,0,0,12,13,142,1,0
401,96,1,112.0045,121.6963,134.4954,117.3243,168.0774,50.08992,5.319873,-4.372007,9.691879,50.75303,-67.23442,5,1,0,2,3,4,5,0,0,0,0,0,13,150,1,0
401,48,1,116.4989,85.02353,64.93843,127.5343,128.0039,68.54196,11.03538,42.51078,-31.4754,0.4695971,-58.99235,5,1,0,2,3,4,0,0,7,0,0,0,13,129,0,0
401,6,1,131.4724,196.023,121.2023,245.8007,164.2224,49.92995,114.3283,49.77777,64.55053,-81.57832,-195.8708,3,1,0,0,0,0,5,0,0,0,0,12,13,134,0,0
401,38,1,152.1184,356.5459,293.4706,343.5127,265.1584,41.30375,191.3944,-13.03319,204.4276,-78.35429,-302.209,4,1,0,0,0,0,5,0,0,0,0,12,13,93,1,0
