,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,2.0,0,202,210,,EFIX,True,,627.6998327226158,1165.0,407.0,,426.99775175052156,115.0,407.0,study,True,False,10,test_objstart,1.0,925,,161.25470535770418,535.0,197.0,19.0,1,,539.2,,358.2,True,False
1,1,2.0,0,52,262,test_objend,ESACC,True,713.176086250794,620.5877536658293,1165.0,407.0,397.91975321665046,431.82074984882325,115.0,407.0,study,True,False,212,test_objstart,1.0,925,71.87579564777006,175.3087561988847,535.0,197.0,19.0,1,473.2,545.4,233.7,372.0,True,False
2,1,2.0,0,150,412,,EFIX,True,,706.5236160242629,1165.0,407.0,,411.92914439257635,115.0,407.0,study,True,False,264,test_objstart,1.0,925,,57.65084561391964,535.0,197.0,19.0,1,,483.1,,222.1,True,False
3,1,2.0,0,24,436,test_objend,ESACC,True,723.9519942648132,706.603460223625,1165.0,407.0,464.1190472281869,413.5921300024941,115.0,407.0,study,True,False,414,test_objstart,1.0,925,72.66698012164811,56.057559704289666,535.0,197.0,19.0,1,493.0,483.7,137.7,219.6,True,False
4,1,2.0,0,52,488,,EFIX,True,,721.6160336356171,1165.0,407.0,,460.23874239355376,115.0,407.0,study,True,False,438,test_objstart,1.0,925,,67.45146403155384,535.0,197.0,19.0,1,,492.9,,144.3,True,False
5,1,2.0,0,22,510,test_objend,ESACC,True,723.5886124034844,722.8064817086245,1165.0,407.0,457.1657030005641,457.7654530433681,115.0,407.0,study,True,False,490,test_objstart,1.0,925,68.03293320150175,67.43300378894595,535.0,197.0,19.0,1,490.2,491.0,145.8,145.9,True,False
6,1,2.0,0,52,562,,EFIX,True,,727.4658067565788,1165.0,407.0,,463.9574333923318,115.0,407.0,study,True,False,512,test_objstart,1.0,925,,76.72352963726317,535.0,197.0,19.0,1,,490.5,,134.5,True,False
7,1,2.0,0,52,614,other_objend,ESACC,True,1057.25609007468,731.7348836839747,1165.0,407.0,113.00637150178746,470.62292761827916,115.0,407.0,study,True,False,564,test_objstart,1.0,925,432.2249877089477,86.09262453892319,535.0,197.0,19.0,1,113.8,490.5,294.0,123.3,True,False
8,1,2.0,0,122,736,,EFIX,True,,1069.7262827471334,1165.0,407.0,,105.61401422159848,115.0,407.0,study,True,False,616,other_objstart,1.0,925,,447.1983005334435,535.0,197.0,19.0,1,,100.4,,302.4,True,False
9,1,2.0,0,26,762,other_objend,ESACC,True,1119.343316413691,1071.9085128871773,1165.0,407.0,75.75922386086067,104.87068227107136,115.0,407.0,study,True,False,738,other_objstart,1.0,925,520.4665791383727,449.6930731065356,535.0,197.0,19.0,1,46.1,98.1,375.5,303.5,True,False
10,1,2.0,0,508,1270,,EFIX,True,,1109.558660008564,1165.0,407.0,,67.15966051135159,115.0,407.0,study,True,False,764,other_objstart,1.0,925,,511.13248771722584,535.0,197.0,19.0,1,,55.9,,375.1,True,False
11,1,2.0,0,56,1326,test_objend,ESACC,True,745.7380907530472,1102.2505386707687,1165.0,407.0,424.28209955170155,57.063561052566634,115.0,407.0,study,True,False,1272,other_objstart,1.0,925,82.25144375632566,507.5098521211189,535.0,197.0,19.0,1,460.9,63.0,161.3,383.5,True,False
12,1,2.0,0,206,1532,,EFIX,True,,741.5051786737567,1165.0,407.0,,425.0293283998176,115.0,407.0,study,True,False,1328,test_objstart,1.0,925,,77.81985607799594,535.0,197.0,19.0,1,,464.2,,164.7,True,False
13,1,2.0,0,30,1562,test_objend,ESACC,True,742.3086689511312,739.3898159969476,1165.0,407.0,472.6755335322529,426.52936592924056,115.0,407.0,study,True,False,1534,test_objstart,1.0,925,99.46939227722264,75.74496682948643,535.0,197.0,19.0,1,484.0,466.3,111.6,165.1,True,False
14,1,2.0,0,272,1834,,EFIX,True,,741.6625445578333,1165.0,407.0,,467.8603744708457,115.0,407.0,study,True,False,1564,test_objstart,1.0,925,,95.63121875203724,535.0,197.0,19.0,1,,482.3,,117.2,True,False
15,1,2.0,0,58,1892,manip_objend,ESACC,True,102.86739036254392,758.4232327665075,1165.0,407.0,956.583347126637,472.0442775842114,115.0,407.0,study,True,False,1836,test_objstart,1.0,925,561.6953800771377,116.90081265756882,535.0,197.0,19.0,1,1070.7,472.2,365.9,98.4,True,False
16,1,2.0,0,232,2124,,EFIX,True,,93.66973897689681,1165.0,407.0,,961.3344995369719,115.0,407.0,study,True,False,1894,manip_objstart,1.0,925,,570.4121492394777,535.0,197.0,19.0,1,,1075.9,,378.1,True,False
17,1,2.0,0,32,2156,manip_objend,ESACC,True,47.37298808392822,89.69726863177041,1165.0,407.0,1011.1499394254049,964.7723047434562,115.0,407.0,study,True,False,2126,manip_objstart,1.0,925,618.6115097539004,574.3984679645308,535.0,197.0,19.0,1,1125.8,1079.4,380.4,380.2,True,False
18,1,2.0,0,198,2354,,EFIX,True,,37.944433056773995,1165.0,407.0,,1019.5439078333017,115.0,407.0,study,True,False,2158,manip_objstart,1.0,925,,628.0061942369676,535.0,197.0,19.0,1,,1134.3,,384.7,True,False
19,1,2.0,0,92,2446,other_objend,ESACC,True,1021.8593885657655,38.30208871589128,1165.0,407.0,75.80639814685827,1019.8661922036634,115.0,407.0,study,True,False,2356,manip_objstart,1.0,925,414.09975851236624,627.9944665361311,535.0,197.0,19.0,1,145.5,1134.6,337.6,383.7,True,False
20,1,2.0,0,128,2574,,EFIX,True,,1023.0259283126699,1165.0,407.0,,65.9700689707082,115.0,407.0,study,True,False,2448,other_objstart,1.0,925,,419.2803954396151,535.0,197.0,19.0,1,,143.7,,347.6,True,False
21,1,2.0,0,22,2596,other_objend,ESACC,True,1093.4806491200472,1025.575843124242,1165.0,407.0,66.10544606914019,60.793173958924044,115.0,407.0,study,True,False,2576,other_objstart,1.0,925,488.94368796416626,423.48531261426297,535.0,197.0,19.0,1,72.7,140.9,356.2,352.0,True,False
22,1,2.0,0,228,2824,,EFIX,True,,1078.5508842887293,1165.0,407.0,,54.97281146166714,115.0,407.0,study,True,False,2598,other_objstart,1.0,925,,476.05672981273983,535.0,197.0,19.0,1,,87.5,,359.4,True,False
23,1,2.0,0,48,2872,test_objend,ESACC,True,743.1346647815589,1080.1006666047383,1165.0,407.0,452.9007948767589,52.89092549766928,115.0,407.0,study,True,False,2826,other_objstart,1.0,925,88.80951525596792,478.85639809863665,535.0,197.0,19.0,1,474.7,85.8,131.8,362.9,True,False
24,1,2.0,0,434,3306,,EFIX,True,,752.0981917276494,1165.0,407.0,,441.58995686043403,115.0,407.0,study,True,False,2874,test_objstart,1.0,925,,94.11530162518739,535.0,197.0,19.0,1,,463.5,,135.8,True,False
25,1,2.0,0,46,3352,other_objend,ESACC,True,1082.0534737248433,760.7415658421721,1165.0,407.0,48.98693703427478,436.6322594586891,115.0,407.0,study,True,False,3308,test_objstart,1.0,925,483.20153145452673,102.10646404611218,535.0,197.0,19.0,1,83.6,455.2,369.4,133.3,True,False
26,1,2.0,0,272,3624,,EFIX,True,,1083.7814263032928,1165.0,407.0,,46.391594066166775,115.0,407.0,study,True,False,3354,other_objstart,1.0,925,,486.8862084717537,535.0,197.0,19.0,1,,81.7,,374.7,True,False
27,1,2.0,0,20,3644,other_objend,ESACC,True,1118.7965766840728,1081.7781288230965,1165.0,407.0,70.25510657596357,42.472579389530864,115.0,407.0,study,True,False,3626,other_objstart,1.0,925,526.2791844639117,486.48527213061647,535.0,197.0,19.0,1,46.3,83.6,392.3,378.4,True,False
