,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,1.0,1,360,362,,EFIX,False,,320.4885801397609,645.0,225.0,,618.0039886602675,1485.0,225.0,study,True,False,4,screen,1.0,803,,228.53649599134053,855.0,645.0,17.0,1,,898.8,,420.7,False,False
1,1,1.0,1,28,390,test_objend,ESACC,False,365.34647938634913,320.11112133132764,645.0,225.0,769.819491829091,623.8967302366635,1485.0,225.0,study,True,False,364,screen,1.0,803,106.3016933073034,222.6951503737789,855.0,645.0,17.0,1,791.7,894.3,559.6,425.8,False,False
2,1,1.0,1,188,578,,EFIX,False,,396.6525557714207,645.0,225.0,,793.3556894609126,1485.0,225.0,study,True,False,392,test_objstart,1.0,803,,85.98401014142107,855.0,645.0,17.0,1,,784.0,,596.5,False,False
3,1,1.0,1,30,608,screen,ESACC,False,292.0719089539424,395.6232172155725,645.0,225.0,681.1593058895987,793.6886858208323,1485.0,225.0,study,True,False,580,test_objstart,1.0,803,202.7856010667424,87.09609635339571,855.0,645.0,17.0,1,839.6,783.2,442.8,595.7,False,False
4,1,1.0,1,126,734,,EFIX,False,,273.98313816729666,645.0,225.0,,670.1005596177338,1485.0,225.0,study,True,False,610,screen,1.0,803,,230.34487187693153,855.0,645.0,17.0,1,,842.4,,415.0,False,False
5,1,1.0,1,42,776,manip_objend,ESACC,False,15.670673246545615,270.2523450407045,645.0,225.0,826.9447200387701,671.2170513328755,1485.0,225.0,study,True,False,736,screen,1.0,803,471.66467961890044,233.66285541352096,855.0,645.0,17.0,1,658.1,840.3,216.4,411.8,False,False
6,1,1.0,1,156,932,,EFIX,False,,17.821616088334977,645.0,225.0,,850.6218960266659,1485.0,225.0,study,True,False,778,manip_objstart,1.0,803,,487.15871130464245,855.0,645.0,17.0,1,,634.5,,210.6,False,False
7,1,1.0,1,62,994,other_objend,ESACC,False,815.6167543644502,16.153327830512215,645.0,225.0,28.11921051523318,847.8189252428847,1485.0,225.0,study,True,False,934,manip_objstart,1.0,803,744.8574964380771,485.7189825403162,855.0,645.0,17.0,1,1460.5,637.3,211.2,210.8,False,False
8,1,1.0,1,222,1216,,EFIX,False,,801.0611774390268,645.0,225.0,,40.2369233416274,1485.0,225.0,study,True,False,996,other_objstart,1.0,803,,730.8180416492193,855.0,645.0,17.0,1,,1446.0,,215.1,False,False
9,1,1.0,1,18,1234,other_objend,ESACC,False,868.1625654219375,803.2279439860146,645.0,225.0,32.65333061113369,37.40494619699374,1485.0,225.0,study,True,False,1218,other_objstart,1.0,803,771.7086496858773,730.7250714187929,855.0,645.0,17.0,1,1513.0,1448.2,241.8,218.3,False,False
10,1,1.0,1,232,1466,,EFIX,False,,868.816620467173,645.0,225.0,,34.55893516878081,1485.0,225.0,study,True,False,1236,other_objstart,1.0,803,,770.8659546250567,855.0,645.0,17.0,1,,1513.6,,244.4,False,False
11,1,1.0,1,54,1520,other_objend,ESACC,False,868.1625654219375,803.2279439860146,645.0,225.0,32.65333061113369,37.40494619699374,1485.0,225.0,study,True,False,1468,other_objstart,1.0,803,771.7086496858773,730.7250714187929,855.0,645.0,17.0,1,1513.0,1448.2,241.8,218.3,False,False
12,1,1.0,1,316,1836,,EFIX,False,,864.210205910576,645.0,225.0,,24.56175889467206,1485.0,225.0,study,True,False,1522,other_objstart,1.0,803,,775.1562939175557,855.0,645.0,17.0,1,,1509.2,,229.2,False,False
13,1,1.0,1,64,1900,manip_objend,ESACC,False,95.96541043521881,862.6215682441518,645.0,225.0,772.1407643687775,23.408759044425995,1485.0,225.0,study,True,False,1838,other_objstart,1.0,803,504.6358687211998,779.389485430744,855.0,645.0,17.0,1,715.6,1507.6,160.0,218.9,False,False
14,1,1.0,1,198,2098,,EFIX,False,,84.79917452428415,645.0,225.0,,788.6082043702056,1485.0,225.0,study,True,False,1902,manip_objstart,1.0,803,,509.72629910570635,855.0,645.0,17.0,1,,699.1,,159.7,False,False
15,1,1.0,1,18,2116,manip_objend,ESACC,False,59.43366049638874,84.00595217006949,645.0,225.0,862.7933472158904,791.6065942120492,1485.0,225.0,study,True,False,2100,manip_objstart,1.0,803,528.7308956359558,511.8564251819059,855.0,645.0,17.0,1,624.0,696.2,169.4,158.4,False,False
