,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,2.0,0,104,104,screen,ESACC,True,278.56965017747353,,745.0,407.0,517.0251928097895,,955.0,197.0,study,False,False,2,screen,1.0,914,187.45412772195763,,535.0,197.0,4.0,1,468.6,,372.3,,False,False
1,1,2.0,0,128,232,,EFIX,True,,260.328292738227,745.0,407.0,,510.5240640753382,955.0,197.0,study,False,False,106,screen,1.0,914,,205.3066486989645,535.0,197.0,4.0,1,,484.9,,396.1,False,False
2,1,2.0,0,36,268,test_objend,ESACC,True,233.51548128550274,257.62115596355824,745.0,407.0,393.3719359588327,515.7874174502515,955.0,197.0,study,False,False,234,screen,1.0,914,67.44983320957884,223.01717422656037,535.0,197.0,4.0,1,566.2,487.5,256.8,414.9,False,False
3,1,2.0,0,82,350,,EFIX,True,,237.2500158061112,745.0,407.0,,407.05966393146844,955.0,197.0,study,False,False,270,test_objstart,1.0,914,,71.92753297590566,535.0,197.0,4.0,1,,553.9,,266.4,False,False
4,1,2.0,0,32,382,test_objend,ESACC,True,367.9496704713839,235.4383571128545,745.0,407.0,508.62457667714017,406.3683304589569,955.0,197.0,study,False,False,352,test_objstart,1.0,914,88.74097137174014,73.8323777214306,535.0,197.0,4.0,1,446.4,554.9,192.0,268.1,False,False
5,1,2.0,0,242,624,,EFIX,True,,368.62243556246005,745.0,407.0,,505.8008501376802,955.0,197.0,study,False,False,384,test_objstart,1.0,914,,86.29310517069135,535.0,197.0,4.0,1,,449.3,,186.9,False,False
6,1,2.0,0,18,642,test_objend,ESACC,True,345.7994360897658,363.86636283119105,745.0,407.0,472.16443110424996,503.722870237197,955.0,197.0,study,False,False,626,test_objstart,1.0,914,54.251728083075825,83.83752143282862,535.0,197.0,4.0,1,483.1,451.3,181.2,192.2,False,False
7,1,2.0,0,82,724,,EFIX,True,,350.69074695520555,745.0,407.0,,477.1247216399503,955.0,197.0,study,False,False,644,test_objstart,1.0,914,,59.46427498927403,535.0,197.0,4.0,1,,478.2,,179.4,False,False
8,1,2.0,0,56,780,other_objend,ESACC,True,243.62171495989435,353.10746239636455,745.0,407.0,90.52922180158184,480.1300657113653,955.0,197.0,study,False,False,726,test_objstart,1.0,914,329.5080272163335,62.392948319501635,535.0,197.0,4.0,1,864.5,475.2,194.7,179.2,False,False
9,1,2.0,0,282,1062,,EFIX,True,,239.74096437613656,745.0,407.0,,87.78228750721873,955.0,197.0,study,False,False,782,other_objstart,1.0,914,,332.32172664452736,535.0,197.0,4.0,1,,867.3,,200.8,False,False
10,1,2.0,0,22,1084,other_objend,ESACC,True,248.3132094754526,233.97566112739165,745.0,407.0,92.80867416357157,89.9033369792245,955.0,197.0,study,False,False,1064,other_objstart,1.0,914,327.71550161687503,330.7364660874274,535.0,197.0,4.0,1,862.6,865.6,188.3,206.5,False,False
11,1,2.0,0,110,1194,,EFIX,True,,243.3600213675204,745.0,407.0,,97.8779852673726,955.0,197.0,study,False,False,1086,other_objstart,1.0,914,,322.3539979587658,535.0,197.0,4.0,1,,857.3,,191.1,False,False
