,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,0.0,1,178,180,,EFIX,,,,,,,,,,study,,,4,screen,1.0,919,,,,,,1,,315.1,,200.7,False,False
1,1,0.0,1,34,214,screen,ESACC,,,,,,,,,,study,,,182,screen,1.0,919,,,,,,1,500.4,314.6,257.2,208.2,False,False
2,1,0.0,1,360,574,,EFIX,,,,,,,,,,study,,,216,screen,1.0,919,,,,,,1,,515.8,,267.9,False,False
3,1,0.0,1,58,632,offscreen,ESACC,,,,,,,,,,study,,,576,screen,1.0,919,,,,,,1,909.1,529.5,145.0,270.8,False,False
4,1,0.0,1,268,900,,EFIX,,,,,,,,,,study,,,634,offscreen,1.0,919,,,,,,1,,932.4,,141.9,False,False
5,1,0.0,1,28,928,offscreen,ESACC,,,,,,,,,,study,,,902,offscreen,1.0,919,,,,,,1,1016.1,940.2,101.7,146.9,False,False
6,1,0.0,1,166,1094,,EFIX,,,,,,,,,,study,,,930,offscreen,1.0,919,,,,,,1,,1005.6,,109.2,False,False
7,1,0.0,1,64,1158,screen,ESACC,,,,,,,,,,study,,,1096,offscreen,1.0,919,,,,,,1,539.0,1010.7,274.5,103.5,False,False
8,1,0.0,1,630,1788,,EFIX,,,,,,,,,,study,,,1160,screen,1.0,919,,,,,,1,,542.5,,296.1,False,False
9,1,0.0,1,18,1806,screen,ESACC,,,,,,,,,,study,,,1790,screen,1.0,919,,,,,,1,526.1,551.9,294.7,307.9,False,False
10,1,0.0,1,354,2160,,EFIX,,,,,,,,,,study,,,1808,screen,1.0,919,,,,,,1,,525.2,,285.3,False,False
