,block,cond,cuecond,dom_accuracy,duration,end,endloc,event,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,testtrial,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,all_accuracy
0,1,1.0,1,False,90,92,,EFIX,,410.22331723099313,,585.7005805016759,,520.1876296107012,study,True,True,4,offscreen,1.0,904,3.0,1,745.0,1165.0,955.0,,606.4,197.0,407.0,197.0,,583.1,False
1,1,1.0,1,False,100,192,offscreen,ESACC,278.3051921901566,403.1289247870959,218.1554033252442,583.1354302389798,190.8396709282428,514.4481800920283,study,True,True,94,offscreen,1.0,904,3.0,1,745.0,1165.0,955.0,947.7,606.8,197.0,407.0,197.0,387.7,575.7,False
2,1,1.0,1,False,142,334,,EFIX,,273.22664584553246,,227.0524168556679,,193.49625319369883,study,True,True,194,offscreen,1.0,904,3.0,1,745.0,1165.0,955.0,,938.6,197.0,407.0,197.0,,389.8,False
3,1,1.0,1,False,40,374,obj1end,ESACC,46.950292863836324,274.5528182335778,463.0208742594658,232.01993448839687,227.240687377943,201.08518095573325,study,True,True,336,offscreen,1.0,904,3.0,1,745.0,1165.0,955.0,732.3,933.2,197.0,407.0,197.0,242.2,396.9,False
4,1,1.0,1,False,230,604,,EFIX,,41.76278247435151,,458.37335219229317,,220.10935918311156,study,True,True,376,obj1start,1.0,904,3.0,1,745.0,1165.0,955.0,,738.8,197.0,407.0,197.0,,238.3,False
5,1,1.0,1,False,30,634,obj1end,ESACC,49.97209221155343,41.51301000891168,504.8100731958506,456.51432617169866,228.98735772963536,218.1452039353605,study,True,True,606,obj1start,1.0,904,3.0,1,745.0,1165.0,955.0,731.1,740.8,197.0,407.0,197.0,149.0,238.3,False
6,1,1.0,1,False,416,1050,,EFIX,,41.584251826863486,,499.949247424176,,226.74931091405765,study,True,True,636,obj1start,1.0,904,3.0,1,745.0,1165.0,955.0,,731.7,197.0,407.0,197.0,,157.6,False
7,1,1.0,1,False,48,1098,obj2end,ESACC,419.02416398102855,31.16231698702777,65.29356783022357,497.80025110479806,235.85853811130087,230.32822232631415,study,True,True,1052,obj1start,1.0,904,3.0,1,745.0,1165.0,955.0,1135.6,726.0,197.0,407.0,197.0,348.7,172.3,False
8,1,1.0,1,False,152,1250,,EFIX,,412.8148495391123,,60.976224874946205,,236.0383443426088,study,True,True,1100,obj2start,1.0,904,3.0,1,745.0,1165.0,955.0,,1123.1,197.0,407.0,197.0,,362.7,False
9,1,1.0,1,False,6,1256,obj2end,ESACC,415.08674996920826,412.6315184277615,56.61280773817881,62.13509475328733,240.514053643441,235.00376592727196,study,True,True,1252,obj2start,1.0,904,3.0,1,745.0,1165.0,955.0,1122.5,1123.9,197.0,407.0,197.0,369.6,360.4,False
