,block,cond,cuecond,dom_accuracy,duration,end,endloc,event,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,testtrial,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,all_accuracy
0,1,1.0,0,False,66,74,,EFIX,,239.37245037806673,,366.6212896164106,,411.4768158718058,study,True,True,10,screen,1.0,917,17.0,1,325.0,325.0,955.0,,551.1,407.0,617.0,407.0,,328.4,True
1,1,1.0,0,False,24,98,obj1end,ESACC,142.6402818281007,242.71969429776397,306.6859142510461,369.213826935016,510.88770781845983,408.37341980104435,study,True,True,76,screen,1.0,917,17.0,1,325.0,325.0,955.0,449.0,554.4,407.0,617.0,407.0,336.5,327.7,True
2,1,1.0,0,False,172,270,,EFIX,,121.065478151288,,293.28288391926316,,531.7751874617694,study,True,True,100,obj1start,1.0,917,17.0,1,325.0,325.0,955.0,,427.2,407.0,617.0,407.0,,342.1,True
3,1,1.0,0,False,42,312,obj1end,ESACC,60.64956718724382,123.48056527243465,234.70485721433204,291.0591864209065,688.3199619363077,525.7808003341316,study,True,True,272,obj1start,1.0,917,17.0,1,325.0,325.0,955.0,266.9,432.7,407.0,617.0,407.0,389.6,346.6,True
4,1,1.0,0,False,292,604,,EFIX,,64.70857748397813,,234.17771029711605,,692.9756128465127,study,True,True,314,obj1start,1.0,917,17.0,1,325.0,325.0,955.0,,262.2,407.0,617.0,407.0,,391.4,True
5,1,1.0,0,False,30,634,obj2end,ESACC,196.32292275737956,65.64030773846201,113.30794323435579,231.82461042779732,753.0688481141682,694.5161265226316,study,True,True,606,obj1start,1.0,917,17.0,1,325.0,325.0,955.0,220.5,260.6,407.0,617.0,407.0,573.2,394.3,True
6,1,1.0,0,False,252,886,,EFIX,,189.5178091895324,,113.95174417269793,,749.39242056482,study,True,True,636,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,,222.8,407.0,617.0,407.0,,566.6,True
7,1,1.0,0,False,224,1110,obj2end,ESACC,186.01067173686565,192.45622878982124,91.60769618323562,121.22458496526187,730.5381372659473,756.3302188859044,study,True,True,888,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,243.9,215.4,407.0,617.0,407.0,574.4,565.2,True
8,1,1.0,0,False,110,1220,,EFIX,,198.2635115193918,,88.12729429637562,,735.2975044157296,study,True,True,1112,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,,242.1,407.0,617.0,407.0,,587.1,True
9,1,1.0,0,False,18,1238,obj2end,ESACC,174.96353905885644,203.5782404875334,104.67205930906302,83.9410507439596,732.8930617764095,734.8646814210083,study,True,True,1222,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,238.0,244.3,407.0,617.0,407.0,558.8,593.9,True
10,1,1.0,0,False,518,1756,,EFIX,,200.23059206824516,,103.40352992040457,,748.057678257499,study,True,True,1240,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,,227.7,407.0,617.0,407.0,,582.0,True
11,1,1.0,0,False,52,1808,obj3end,ESACC,544.4713031923721,206.37017710899997,597.786751275068,98.92749870485959,95.75489543621255,747.9576525445809,study,True,True,1758,obj2start,1.0,917,17.0,1,325.0,325.0,955.0,868.0,229.8,407.0,617.0,407.0,367.0,590.1,True
