,block,cond,cuecond,dom_accuracy,duration,end,endloc,event,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,testtrial,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,all_accuracy
0,1,0.0,0,False,226,228,,EFIX,,168.16946809691703,,206.20128515603386,,576.7988990974237,study,,,4,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,,912.6,435.0,645.0,435.0,,506.1,False
1,1,0.0,0,False,24,252,obj1end,ESACC,17.075128110793187,161.33350550954998,193.00663201040527,205.21817658287483,421.94260273169846,570.8103888332797,study,,,230,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,1063.4,918.1,435.0,645.0,435.0,452.0,501.7,False
2,1,0.0,0,False,776,1028,,EFIX,,28.106404963993548,,238.10075598368016,,421.537625841395,study,,,254,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,,1064.4,435.0,645.0,435.0,,406.9,False
3,1,0.0,0,False,30,1058,obj2end,ESACC,169.18241634401608,32.18462365788981,48.71026585844095,241.32933928554976,430.15193827297816,413.2793849201771,study,,,1030,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,1088.8,1072.9,435.0,645.0,435.0,602.5,403.8,False
4,1,0.0,0,False,888,1946,,EFIX,,194.24216843929645,,44.5872178993039,,424.98708215662265,study,,,1060,obj2start,1.0,801,,1,1065.0,1065.0,1485.0,,1104.9,435.0,645.0,435.0,,625.1,False
5,1,0.0,0,False,46,1992,obj3end,ESACC,431.1900277139999,188.44893207444815,473.9713493450844,49.16299421312736,16.87720355983183,420.67683558760405,study,,,1948,obj2start,1.0,801,,1,1065.0,1065.0,1485.0,1496.0,1106.6,435.0,645.0,435.0,447.8,618.8,False
6,1,0.0,0,False,1566,3558,,EFIX,,452.4107536299286,,508.57201063369575,,39.54099138868419,study,,,1994,obj3start,1.0,801,,1,1065.0,1065.0,1485.0,,1516.8,435.0,645.0,435.0,,411.5,False
7,1,0.0,0,False,38,3596,obj1end,ESACC,100.40418317978597,470.9423106920847,261.81100053282717,534.7940351200638,327.39120330271544,68.16641401746169,study,,,3560,obj3start,1.0,801,,1,1065.0,1065.0,1485.0,1159.4,1533.5,435.0,645.0,435.0,400.8,387.1,False
8,1,0.0,0,False,358,3954,,EFIX,,75.15810002920514,,255.1053507866897,,356.1751535410632,study,,,3598,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,,1130.7,435.0,645.0,435.0,,398.5,False
9,1,0.0,0,False,14,3968,obj1end,ESACC,55.67854164756832,71.11996906635991,261.0710631226678,257.06818161725107,398.4370715683971,363.6400005499946,study,,,3956,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,1089.7,1123.6,435.0,645.0,435.0,385.1,394.7,False
10,1,0.0,0,False,42,4010,,EFIX,,55.782165608732015,,263.0164443528199,,403.99956683145086,study,,,3970,obj1start,1.0,801,,1,1065.0,1065.0,1485.0,,1084.4,435.0,645.0,435.0,,382.7,False
11,1,1.0,1,False,192,200,,EFIX,,162.29051112126055,,290.3415402590542,,712.5603202536611,study,True,True,10,obj1start,2.0,801,17.0,2,1065.0,855.0,435.0,,1098.0,645.0,645.0,225.0,,486.1,False
