,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,1.0,1,172,174,,EFIX,True,,467.1006850776394,115.0,197.0,,257.1012446488737,115.0,407.0,study,True,False,4,offscreen,1.0,913,,1149.9404549801698,1165.0,197.0,16.0,1,,114.2,,664.1,True,True
1,1,1.0,1,48,222,manip_objend,ESACC,True,151.96371277380663,463.54281355663363,115.0,197.0,255.62662224424122,253.57827193984897,115.0,407.0,study,True,False,176,offscreen,1.0,913,1201.9080538876508,1153.5172040329523,1165.0,197.0,16.0,1,-36.9,108.7,201.4,660.5,True,True
2,1,1.0,1,232,454,,EFIX,True,,151.59290880512847,115.0,197.0,,238.30738553389403,115.0,407.0,study,True,False,224,manip_objstart,1.0,913,,1199.850161478507,1165.0,197.0,16.0,1,,-34.6,,221.5,True,True
3,1,1.0,1,20,474,manip_objend,ESACC,True,164.03341123076115,157.71103322215603,115.0,197.0,290.1636779474647,240.15572031496563,115.0,407.0,study,True,False,456,manip_objstart,1.0,913,1211.4070166546007,1205.7001161151143,1165.0,197.0,16.0,1,-46.0,-40.4,165.6,223.9,True,True
4,1,1.0,1,224,698,,EFIX,True,,171.10938022212576,115.0,197.0,,301.6229765783767,115.0,407.0,study,True,False,476,manip_objstart,1.0,913,,1216.6217242840933,1165.0,197.0,16.0,1,,-50.9,,155.1,True,True
5,1,1.0,1,30,728,offscreen,ESACC,True,231.4625023626937,175.96525225168747,115.0,197.0,215.4875634462462,307.83399747266384,115.0,407.0,study,True,False,700,manip_objstart,1.0,913,1252.6551361009142,1220.5014420311022,1165.0,197.0,16.0,1,-81.7,-54.6,319.0,150.1,True,True
6,1,1.0,1,460,1188,,EFIX,True,,235.20259352311572,115.0,197.0,,203.1016001906435,115.0,407.0,study,True,False,730,offscreen,1.0,913,,1247.8101858856578,1165.0,197.0,16.0,1,,-75.1,,335.5,True,True
7,1,1.0,1,34,1222,offscreen,ESACC,True,185.42906999712855,230.205212799363,115.0,197.0,315.07767296335044,190.2483639877095,115.0,407.0,study,True,False,1190,offscreen,1.0,913,1229.696686179157,1237.3255190126808,1165.0,197.0,16.0,1,-63.7,-63.8,147.5,342.0,True,True
8,1,1.0,1,194,1416,,EFIX,True,,180.16817143990778,115.0,197.0,,315.62409603830946,115.0,407.0,study,True,False,1224,offscreen,1.0,913,,1222.8330098586641,1165.0,197.0,16.0,1,,-56.6,,142.1,True,True
9,1,1.0,1,22,1438,offscreen,ESACC,True,191.2051254543141,180.751569841039,115.0,197.0,351.54430730705906,313.82340575552996,115.0,407.0,study,True,False,1418,offscreen,1.0,913,1215.9027099237833,1224.2920934156195,1165.0,197.0,16.0,1,-46.6,-58.2,94.8,145.3,True,True
10,1,1.0,1,578,2016,,EFIX,True,,162.75386324139896,115.0,197.0,,321.41378315187416,115.0,407.0,study,True,False,1440,manip_objstart,1.0,913,,1195.4408475537382,1165.0,197.0,16.0,1,,-27.9,,119.1,True,True
