,block,cond,cuecond,dom_accuracy,duration,end,endloc,event,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,testtrial,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,all_accuracy
0,1,0.0,0,False,226,228,,EFIX,,605.6852730585415,,870.1497859564179,,813.67846843824,study,,,4,offscreen,1.0,802,,1,1275.0,1485.0,1485.0,,677.1,645.0,225.0,645.0,,548.2,False
1,1,0.0,0,False,46,274,obj1end,ESACC,28.5590616092336,602.1780882762174,442.232540638972,865.1187490743683,206.8178425571644,810.0089197039746,study,,,230,offscreen,1.0,802,,1,1275.0,1485.0,1485.0,1280.1,681.2,645.0,225.0,645.0,616.9,544.9,False
2,1,0.0,0,False,312,586,,EFIX,,6.449806198638783,,469.97616960863036,,204.42504738901258,study,,,276,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,,1280.6,645.0,225.0,645.0,,648.2,False
3,1,0.0,0,False,16,602,obj1end,ESACC,53.936629483125856,30.39078807796871,514.036146588934,486.7890713645901,259.1701371686175,196.35579950691542,study,,,588,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,1227.0,1290.4,645.0,225.0,645.0,669.6,671.2,False
4,1,0.0,0,False,290,892,,EFIX,,71.80842568946902,,531.80677882103,,273.8657517836065,study,,,604,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,,1213.7,645.0,225.0,645.0,,682.4,False
5,1,0.0,0,False,42,934,obj2end,ESACC,432.38061936215416,68.82049113454516,65.85590330410774,532.1224107289601,412.2923719886168,268.1310500482927,study,,,894,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,1420.4,1220.1,645.0,225.0,645.0,237.8,686.5,False
6,1,0.0,0,False,132,1066,,EFIX,,455.08227827503896,,55.352326057718614,,431.29558309818105,study,,,936,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,,1430.2,645.0,225.0,645.0,,217.2,False
7,1,0.0,0,False,18,1084,obj2end,ESACC,504.9564832735589,458.0865420420032,35.48309456628605,46.853815212851174,450.77161623154575,430.2874388127081,study,,,1068,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,1503.3,1438.8,645.0,225.0,645.0,194.6,217.2,False
8,1,0.0,0,False,280,1364,,EFIX,,507.1094753601041,,38.80747350704507,,449.6465500812833,study,,,1086,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,,1510.9,645.0,225.0,645.0,,196.1,False
9,1,0.0,0,False,18,1382,obj2end,ESACC,441.58769231037223,500.570814171182,28.87369044649474,32.39043068562072,398.43906685966425,443.87063430688903,study,,,1366,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,1466.3,1507.5,645.0,225.0,645.0,247.0,201.7,False
10,1,0.0,0,False,152,1534,,EFIX,,432.4452450889014,,37.56181571756084,,389.79339399225324,study,,,1384,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,,1463.5,645.0,225.0,645.0,,255.8,False
11,1,0.0,0,False,38,1572,obj3end,ESACC,190.65940837000414,425.61320468237346,395.45797501125196,44.4364715070853,32.72628912663336,384.2272764914016,study,,,1536,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,1464.0,1459.8,645.0,225.0,645.0,619.9,261.6,False
12,1,0.0,0,False,162,1734,,EFIX,,196.11590960449902,,411.0419078390912,,16.835973390332924,study,,,1574,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,,1470.9,645.0,225.0,645.0,,635.8,False
13,1,0.0,0,False,12,1746,obj3end,ESACC,185.66103522279528,189.00595228722295,452.71185096040944,422.0228074405458,41.85713798147209,21.0535032714273,study,,,1736,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,1457.9,1464.0,645.0,225.0,645.0,676.9,646.5,False
14,1,0.0,0,False,166,1912,,EFIX,,183.24131630175543,,453.67320837801304,,44.17442699119034,study,,,1748,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,,1455.3,645.0,225.0,645.0,,677.7,False
15,1,0.0,0,False,24,1936,obj1end,ESACC,33.41167460634085,179.77597169811094,500.8895487031048,458.8762360375617,235.7760377985855,50.82715809486111,study,,,1914,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,1250.3,1450.8,645.0,225.0,645.0,667.5,682.6,False
16,1,0.0,0,False,738,2674,,EFIX,,46.64000428816443,,511.7238415395554,,248.88007152040112,study,,,1938,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,,1237.7,645.0,225.0,645.0,,673.0,False
17,1,0.0,0,False,40,2714,obj2end,ESACC,454.5693566442859,72.75616812339685,43.397004504919416,533.512380362443,425.1109267003143,273.96251568417154,study,,,2676,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,1441.7,1213.9,645.0,225.0,645.0,222.1,684.5,False
18,1,0.0,0,False,234,2948,,EFIX,,487.09976390879103,,42.097268319927856,,452.54853883312893,study,,,2716,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,,1457.3,645.0,225.0,645.0,,193.3,False
19,1,0.0,0,False,48,2996,obj3end,ESACC,134.74041709895369,489.10335308603226,429.9453221050323,34.14805997417718,75.37227607018374,449.8289563823121,study,,,2950,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,1409.7,1467.8,645.0,225.0,645.0,648.3,195.5,False
20,1,0.0,0,False,246,3242,,EFIX,,121.939042148116,,454.85506482834734,,94.36699634935931,study,,,2998,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,,1394.2,645.0,225.0,645.0,,670.7,False
21,1,0.0,0,False,24,3266,obj1end,ESACC,63.54400050358811,113.38628664878301,511.4507209888359,449.75154252097906,272.5102566877071,100.00224997468811,study,,,3244,obj3start,1.0,802,,1,1275.0,1485.0,1485.0,1212.8,1386.8,645.0,225.0,645.0,658.0,663.9,False
22,1,0.0,0,False,302,3568,,EFIX,,63.053707266107764,,514.8279032841947,,271.0051106529175,study,,,3268,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,,1214.6,645.0,225.0,645.0,,663.1,False
23,1,0.0,0,False,42,3610,obj2end,ESACC,414.8566258359628,57.86622503671726,72.96588243830118,515.8085885287293,394.6745748081576,263.784950290952,study,,,3570,obj1start,1.0,802,,1,1275.0,1485.0,1485.0,1418.9,1222.3,645.0,225.0,645.0,255.9,668.9,False
24,1,0.0,0,False,400,4010,,EFIX,,441.43068538559936,,60.2913758343595,,419.52717432843366,study,,,3612,obj2start,1.0,802,,1,1275.0,1485.0,1485.0,,1424.9,645.0,225.0,645.0,,229.8,False
25,1,2.0,1,True,196,198,,EFIX,,279.29174710327555,,660.4391569251477,,559.1957439036889,study,True,True,4,screen,2.0,802,18.0,2,645.0,1485.0,435.0,,901.2,645.0,225.0,225.0,,533.8,True
26,1,2.0,1,True,34,232,obj1end,ESACC,90.40984459670304,277.5147743814733,988.7456396869723,663.3087139484902,394.8264682110357,567.0436050252221,study,True,True,200,offscreen,2.0,802,18.0,2,645.0,1485.0,435.0,568.7,903.6,645.0,225.0,225.0,596.5,544.3,True
27,1,2.0,1,True,472,704,,EFIX,,87.09655561501845,,1016.0225440412235,,433.707055510975,study,True,True,234,obj1start,2.0,802,18.0,2,645.0,1485.0,435.0,,558.0,645.0,225.0,225.0,,640.9,True
28,1,2.0,1,True,40,744,obj3end,ESACC,508.7345869901122,90.40005530971757,1100.9281902104242,1026.304131337295,53.50588752651433,452.89090297774806,study,True,True,706,obj1start,2.0,802,18.0,2,645.0,1485.0,435.0,384.2,556.1,645.0,225.0,225.0,208.2,661.4,True
29,1,2.0,1,True,304,1048,,EFIX,,538.6461732900365,,1108.909238846895,,74.76429629174609,study,True,True,746,obj3start,2.0,802,18.0,2,645.0,1485.0,435.0,,377.1,645.0,225.0,225.0,,177.7,True
30,1,2.0,1,True,48,1096,obj1end,ESACC,40.7505828179181,539.2779246362677,974.129667960072,1102.4176522534462,449.6316381216962,72.83323417231999,study,True,True,1050,obj3start,2.0,802,18.0,2,645.0,1485.0,435.0,604.4,383.8,645.0,225.0,225.0,641.5,173.2,True
31,1,2.0,1,True,416,1512,,EFIX,,56.21823547568887,,995.3634964172636,,473.54882536017345,study,True,True,1098,obj1start,2.0,802,18.0,2,645.0,1485.0,435.0,,595.0,645.0,225.0,225.0,,670.7,True
32,1,2.0,1,True,56,1568,obj2end,ESACC,872.0762868006444,55.216301940640726,67.83104009227642,993.9138996915176,985.8301324264743,465.5586321828863,study,True,True,1514,obj1start,2.0,802,18.0,2,645.0,1485.0,435.0,1420.6,592.8,645.0,225.0,225.0,246.3,663.0,True
33,1,2.0,1,True,136,1704,,EFIX,,894.5807341989878,,46.80480744538967,,1003.8280181385654,study,True,True,1570,obj2start,2.0,802,18.0,2,645.0,1485.0,435.0,,1438.8,645.0,225.0,225.0,,232.5,True
34,1,2.0,1,True,16,1720,obj2end,ESACC,950.3251864493543,894.1301135740816,21.306337085477647,47.16630152979986,1068.0608409636598,1003.5310956816436,study,True,True,1706,obj2start,2.0,802,18.0,2,645.0,1485.0,435.0,1503.0,1438.5,645.0,225.0,225.0,236.4,232.9,True
35,1,2.0,1,True,540,2260,,EFIX,,941.9083288728262,,8.203657720797532,,1055.9153848675567,study,True,True,1722,obj2start,2.0,802,18.0,2,645.0,1485.0,435.0,,1490.9,645.0,225.0,225.0,,230.7,True
