,block,cond,cuecond,duration,end,endloc,event,manip_accuracy,manip_objend,manip_objstart,manip_x,manip_y,other_objend,other_objstart,other_x,other_y,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,test_objend,test_objstart,test_x,test_y,testtrial,trialnum,xend,xstart,yend,ystart,all_accuracy,dom_accuracy
0,1,1.0,1,246,248,,EFIX,True,,157.91937816493578,855.0,435.0,,776.2503011271558,1485.0,645.0,study,True,False,4,manip_objstart,1.0,804,,483.9240952876805,1275.0,225.0,8.0,1,,795.3,,288.8,True,True
1,1,1.0,1,24,272,manip_objend,ESACC,True,87.33201016809363,144.8972049419864,855.0,435.0,745.9778012782955,773.3532181351545,1485.0,645.0,study,True,False,250,manip_objstart,1.0,804,550.809295491643,491.42161124639193,1275.0,225.0,8.0,1,767.8,790.2,439.8,305.4,True,True
2,1,1.0,1,496,768,,EFIX,True,,106.9977569858359,855.0,435.0,,749.0397319234809,1485.0,645.0,study,True,False,274,manip_objstart,1.0,804,,576.2608090092541,1275.0,225.0,8.0,1,,755.6,,474.6,True,True
3,1,1.0,1,46,814,test_objend,ESACC,True,438.67647532093633,100.6821235373986,855.0,435.0,486.0484029394603,739.7802984670516,1485.0,645.0,study,True,False,770,manip_objstart,1.0,804,34.80014367786428,570.2445878743611,1275.0,225.0,8.0,1,1240.2,764.2,225.1,478.5,True,True
4,1,1.0,1,272,1086,,EFIX,True,,435.9686685990176,855.0,435.0,,484.083339932289,1485.0,645.0,study,True,False,816,test_objstart,1.0,804,,36.34116123626216,1275.0,225.0,8.0,1,,1238.8,,228.2,True,True
5,1,1.0,1,12,1098,test_objend,ESACC,True,460.7100281087878,437.14757233684816,855.0,435.0,489.742513980561,484.5389561222091,1485.0,645.0,study,True,False,1088,test_objstart,1.0,804,22.129844102478415,35.46829570193649,1275.0,225.0,8.0,1,1257.7,1239.6,211.2,227.2,True,True
6,1,1.0,1,312,1410,,EFIX,True,,478.25317562981223,855.0,435.0,,476.40539459582106,1485.0,645.0,study,True,False,1100,test_objstart,1.0,804,,10.959014554238012,1275.0,225.0,8.0,1,,1279.7,,215.1,True,True
7,1,1.0,1,40,1450,other_objend,ESACC,True,554.8570987200219,477.2739360157854,855.0,435.0,166.2600372909858,462.57151879466164,1485.0,645.0,study,True,False,1412,test_objstart,1.0,804,303.43104653281614,10.412012293500235,1275.0,225.0,8.0,1,1406.2,1285.0,498.6,227.9,True,True
8,1,1.0,1,224,1674,,EFIX,True,,563.9214927629554,855.0,435.0,,138.78562605687958,1485.0,645.0,study,True,False,1452,other_objstart,1.0,804,,331.69782935678063,1275.0,225.0,8.0,1,,1411.3,,527.4,True,True
9,1,1.0,1,22,1696,other_objend,ESACC,True,638.0515653142777,571.9328369660199,855.0,435.0,31.14161203277696,126.5431546943572,1485.0,645.0,study,True,False,1676,other_objstart,1.0,804,439.2149815295466,343.86213807280376,1275.0,225.0,8.0,1,1465.4,1417.6,620.8,537.9,True,True
