,block,cond,cuecond,dom_accuracy,duration,end,endloc,event,obj1end,obj1start,obj2end,obj2start,obj3end,obj3start,phase,recog_accuracy,recog_loc_accuracy,start,startloc,studytrial,sub,testtrial,trialnum,x1,x2,x3,xend,xstart,y1,y2,y3,yend,ystart,all_accuracy
0,1,1.0,1,False,198,200,,EFIX,,698.1886636146422,,955.2305533220763,,179.52551350713358,study,True,True,4,obj3start,1.0,924,18.0,1,955.0,1165.0,115.0,,266.0,407.0,617.0,197.0,,294.1,False
1,1,1.0,1,False,40,240,obj3end,ESACC,1003.7059828455742,697.4651245761324,1274.5876588136257,953.9316537362622,149.10298454424043,181.4982093575581,study,True,True,202,screen,1.0,924,18.0,1,955.0,1165.0,115.0,-2.1,266.2,407.0,617.0,197.0,104.7,297.4,False
2,1,1.0,1,False,292,532,,EFIX,,1003.723452949068,,1273.9587002725011,,147.09442545521568,study,True,True,242,obj3start,1.0,924,18.0,1,955.0,1165.0,115.0,,-3.9,407.0,617.0,197.0,,110.4,False
3,1,1.0,1,False,22,554,offscreen,ESACC,1057.3515687792778,1003.3036828398469,1329.1186327788803,1273.2816970333,203.4854785973682,145.9393024513959,study,True,True,534,obj3start,1.0,924,18.0,1,955.0,1165.0,115.0,-49.7,-4.2,407.0,617.0,197.0,77.5,112.8,False
4,1,1.0,1,False,240,794,,EFIX,,1046.1919756908862,,1317.949790394156,,192.6801754203063,study,True,True,556,offscreen,1.0,924,18.0,1,955.0,1165.0,115.0,,-39.3,407.0,617.0,197.0,,81.6,False
5,1,1.0,1,False,58,852,offscreen,ESACC,201.77636135087772,1040.3485281385272,498.6959995829122,1312.0202208807607,696.4421727609551,186.78078059586323,study,True,True,796,offscreen,1.0,924,18.0,1,955.0,1165.0,115.0,807.7,-34.1,407.0,617.0,197.0,269.1,84.5,False
6,1,1.0,1,False,194,1046,,EFIX,,202.02012276008543,,498.7525739281954,,692.4609230851948,study,True,True,854,offscreen,1.0,924,18.0,1,955.0,1165.0,115.0,,803.2,407.0,617.0,197.0,,273.7,False
7,1,1.0,1,False,24,1070,obj1end,ESACC,124.27276451419273,200.83767076920606,420.88444970086505,497.6000100482314,769.1551989033162,693.8744627092137,study,True,True,1048,offscreen,1.0,924,18.0,1,955.0,1165.0,115.0,875.6,804.6,407.0,617.0,197.0,311.4,273.9,False
8,1,1.0,1,False,552,1622,,EFIX,,151.28899497319688,,448.013794430484,,734.0411160146276,study,True,True,1072,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,,840.6,407.0,617.0,197.0,,308.0,False
9,1,1.0,1,False,22,1644,obj1end,ESACC,136.87516210036063,155.99516018133383,433.53524654865146,452.8360520099962,758.9682536180285,731.6751259951373,study,True,True,1624,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,866.6,839.0,407.0,617.0,197.0,302.5,302.7,False
10,1,1.0,1,False,206,1850,,EFIX,,136.18696707100864,,433.02758572635986,,757.0157792278837,study,True,True,1646,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,,864.2,407.0,617.0,197.0,,305.5,False
11,1,1.0,1,False,44,1894,obj2end,ESACC,181.12760695156328,131.54698780283795,119.87163968178629,428.46541283982305,1013.7776925934008,759.1328012936867,study,True,True,1852,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,1065.0,865.6,407.0,617.0,197.0,550.9,310.5,False
12,1,1.0,1,False,312,2206,,EFIX,,174.63072467352362,,129.46771798405962,,1003.1150930974969,study,True,True,1896,obj2start,1.0,924,18.0,1,955.0,1165.0,115.0,,1053.5,407.0,617.0,197.0,,551.2,False
13,1,1.0,1,False,14,2220,obj2end,ESACC,169.84704884100864,180.9081534923177,127.46772140428345,123.5142097088429,1012.1136398646152,1008.6504647299776,study,True,True,2208,obj2start,1.0,924,18.0,1,955.0,1165.0,115.0,1070.1,1057.6,407.0,617.0,197.0,531.9,556.0,False
14,1,1.0,1,False,280,2500,,EFIX,,161.22794422804012,,136.23674247426788,,1003.6346197695653,study,True,True,2222,obj2start,1.0,924,18.0,1,955.0,1165.0,115.0,,1062.9,407.0,617.0,197.0,,526.8,False
15,1,1.0,1,False,40,2540,obj1end,ESACC,139.65278371733234,163.60177260653379,389.51110382118765,134.27412260000065,874.4283275374831,1004.2905655237432,study,True,True,2502,obj2start,1.0,924,18.0,1,955.0,1165.0,115.0,986.3,1062.3,407.0,617.0,197.0,270.9,530.5,False
16,1,1.0,1,False,538,3078,,EFIX,,131.58236963970512,,391.01140648323803,,861.2862009808355,study,True,True,2542,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,,972.6,407.0,617.0,197.0,,276.6,False
17,1,1.0,1,False,32,3110,obj1end,ESACC,134.30238270410547,126.19338334476969,431.271526998943,391.6513372886654,752.420846335347,852.7571576949678,study,True,True,3080,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,858.3,963.6,407.0,617.0,197.0,313.8,281.1,False
18,1,1.0,1,False,134,3244,,EFIX,,128.06974662268996,,424.30397122817504,,750.1865501326987,study,True,True,3112,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,,853.5,407.0,617.0,197.0,,328.9,False
19,1,1.0,1,False,198,3442,obj1end,ESACC,134.20748861371334,136.5007325987667,431.14458131814666,430.10981155979226,751.4543565646552,735.2608040688691,study,True,True,3246,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,857.1,836.3,407.0,617.0,197.0,315.2,339.6,False
20,1,1.0,1,False,274,3716,,EFIX,,138.48971080914285,,435.4485044181459,,748.5929468008632,study,True,True,3444,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,,854.8,407.0,617.0,197.0,,311.4,False
21,1,1.0,1,False,30,3746,offscreen,ESACC,192.41738486945502,130.9366640784773,489.2222909884626,427.39491106001725,714.8093801846755,749.0009412544152,study,True,True,3718,obj1start,1.0,924,18.0,1,955.0,1165.0,115.0,826.7,853.0,407.0,617.0,197.0,263.6,324.9,False
22,1,1.0,1,False,170,3916,,EFIX,,195.71042384093906,,492.6627345355035,,708.2108231310787,study,True,True,3748,offscreen,1.0,924,18.0,1,955.0,1165.0,115.0,,819.9,407.0,617.0,197.0,,265.4,False
