Subj,RT,response code,affect,up/in,old/new
147,1548,1,l,in,2
147,1114,2,l,in,2
147,720,1,l,in,2
147,5390,1,l,in,2
147,368,2,l,in,2
147,3332,2,l,in,2
147,759,1,l,in,2
147,1342,1,s,in,1
147,632,1,s,in,1
147,1136,1,s,in,1
147,3292,2,s,in,1
147,3112,1,s,in,1
147,1425,2,s,in,1
147,1030,2,s,in,1
147,1176,1,s,in,1
147,764,1,h,up,1
147,3081,1,h,up,1
147,1632,1,h,up,1
147,4051,2,h,up,1
147,2283,2,h,up,1
147,2134,1,h,up,1
147,817,1,h,up,1
147,1658,1,h,up,1
147,901,2,l,up,2
147,698,1,l,up,2
147,1639,2,l,up,2
147,985,2,l,up,2
147,863,1,l,up,2
147,2737,2,l,up,2
147,950,2,l,up,2
147,2046,2,l,up,2
147,371,2,l,up,2
147,945,2,l,up,2
147,753,2,l,up,2
147,1259,2,l,up,2
147,614,2,l,up,2
147,664,2,l,up,2
147,528,2,l,up,2
147,887,2,l,up,2
147,806,1,s,up,1
147,1118,1,s,up,1
147,1679,1,s,up,1
147,633,2,s,up,1
147,1094,2,s,up,1
147,1827,1,s,up,1
147,3739,1,s,up,1
147,883,1,s,up,1
149,1357,1,h,in,1
149,1295,2,h,in,1
149,535,1,h,in,1
149,1878,2,h,in,1
149,1790,2,h,in,1
149,2393,1,h,in,1
149,772,1,h,in,1
149,758,1,h,in,1
149,921,2,l,in,2
149,697,1,l,in,2
149,1138,2,l,in,2
149,1066,2,l,in,2
149,585,1,l,in,2
149,853,2,l,in,2
149,1832,2,l,in,2
149,1972,2,l,in,2
149,1252,1,l,in,2
149,609,2,l,in,2
149,3633,2,l,in,2
149,888,1,l,in,2
149,1259,2,l,in,2
149,1318,2,l,in,2
149,553,2,l,in,2
149,625,2,l,in,2
149,4186,1,s,in,1
149,760,1,s,in,1
149,926,1,s,in,1
149,2106,2,s,in,1
149,538,2,s,in,1
149,553,2,s,in,1
149,1039,1,s,in,1
149,1313,2,s,in,1
149,614,1,h,up,1
149,1406,1,h,up,1
149,1468,2,h,up,1
149,368,1,h,up,1
149,904,1,h,up,1
149,860,1,h,up,1
149,1272,1,h,up,1
149,562,2,h,up,1
149,3362,1,l,up,2
149,807,2,l,up,2
149,557,2,l,up,2
149,590,2,l,up,2
149,2747,1,l,up,2
149,610,2,l,up,2
149,822,1,l,up,2
149,9027,2,l,up,2
149,1566,2,l,up,2
149,1184,1,l,up,2
149,582,2,l,up,2
149,2862,2,l,up,2
149,567,2,l,up,2
149,1035,1,l,up,2
149,519,1,l,up,2
149,2452,1,l,up,2
149,880,2,s,up,1
149,1514,1,s,up,1
149,858,1,s,up,1
149,729,1,s,up,1
149,1025,1,s,up,1
149,1920,1,s,up,1
149,920,1,s,up,1
149,572,1,s,up,1
154,733,1,h,in,1
154,2284,2,h,in,1
154,363,2,h,in,1
154,127,2,h,in,1
154,1103,1,h,in,1
154,663,1,h,in,1
154,548,2,h,in,1
154,122,2,h,in,1
154,1968,1,l,in,2
154,581,1,l,in,2
154,1069,1,l,in,2
154,523,2,l,in,2
154,482,2,l,in,2
154,793,1,l,in,2
154,701,2,l,in,2
154,66,2,l,in,2
154,62,2,l,in,2
154,722,1,l,in,2
154,1598,2,l,in,2
154,444,2,l,in,2
154,94,2,l,in,2
154,210,1,l,in,2
154,102,2,l,in,2
154,163,1,l,in,2
154,6301,1,s,in,1
154,1827,2,s,in,1
154,685,1,s,in,1
154,902,1,s,in,1
154,1120,1,s,in,1
154,615,1,s,in,1
154,22,2,s,in,1
154,984,1,s,in,1
154,3253,1,h,up,1
154,1145,1,h,up,1
154,1396,2,h,up,1
154,495,2,h,up,1
154,1095,1,h,up,1
154,128,2,h,up,1
154,951,1,h,up,1
154,59,1,h,up,1
154,1596,2,l,up,2
154,744,1,l,up,2
154,1155,2,l,up,2
154,849,1,l,up,2
154,446,2,l,up,2
154,805,2,l,up,2
154,1738,2,l,up,2
154,613,2,l,up,2
154,426,2,l,up,2
154,45,2,l,up,2
154,237,1,l,up,2
154,1954,2,l,up,2
154,603,1,l,up,2
154,771,2,l,up,2
154,1241,2,l,up,2
154,114,2,l,up,2
154,1214,2,s,up,1
154,1596,1,s,up,1
154,571,1,s,up,1
154,1255,1,s,up,1
154,475,2,s,up,1
154,784,2,s,up,1
