Subj,RT,response code,affect,up/in,old/new
209,2123,1,l,in,2
209,2533,2,l,in,2
209,3989,1,l,in,2
209,1218,2,l,in,2
209,3011,1,l,in,2
209,918,2,l,in,2
209,660,2,l,in,2
209,743,2,l,in,2
209,1340,2,s,in,1
209,1373,1,s,in,1
209,1069,1,s,in,1
209,2796,1,s,in,1
209,1473,1,s,in,1
209,1240,1,s,in,1
209,1444,1,s,in,1
209,840,1,s,in,1
209,2728,1,h,up,1
209,923,1,h,up,1
209,2346,1,h,up,1
209,1107,1,h,up,1
209,2028,2,h,up,1
209,1222,2,h,up,1
209,995,2,h,up,1
209,1549,1,h,up,1
209,2564,2,l,up,2
209,1833,1,l,up,2
209,1034,2,l,up,2
209,1225,2,l,up,2
209,1960,1,l,up,2
209,1197,2,l,up,2
209,1227,2,l,up,2
209,1682,1,l,up,2
209,1339,1,l,up,2
209,1215,2,l,up,2
209,880,2,l,up,2
209,1052,1,l,up,2
209,734,2,l,up,2
209,961,2,l,up,2
209,855,1,l,up,2
209,1998,2,l,up,2
209,2051,1,s,up,1
209,4145,1,s,up,1
209,2048,1,s,up,1
209,1572,1,s,up,1
209,1522,2,s,up,1
209,2484,1,s,up,1
209,1280,1,s,up,1
209,1122,1,s,up,1
210,617,1,h,in,1
210,1721,2,h,in,1
210,1032,2,h,in,1
210,553,1,h,in,1
210,1409,1,h,in,1
210,1129,2,h,in,1
210,1008,2,h,in,1
210,541,2,h,in,1
210,2663,1,l,in,2
210,692,1,l,in,2
210,695,2,l,in,2
210,1042,2,l,in,2
210,2714,1,l,in,2
210,1371,1,l,in,2
210,768,1,l,in,2
210,996,2,l,in,2
210,985,2,l,in,2
210,602,1,l,in,2
210,660,1,l,in,2
210,413,1,l,in,2
210,839,2,l,in,2
210,955,1,l,in,2
210,1584,2,l,in,2
210,513,2,l,in,2
210,2269,2,s,in,1
210,836,1,s,in,1
210,581,1,s,in,1
210,755,1,s,in,1
210,517,1,s,in,1
210,279,1,s,in,1
210,1108,2,s,in,1
210,2150,1,s,in,1
210,887,1,h,up,1
210,767,1,h,up,1
210,969,1,h,up,1
210,1195,2,h,up,1
210,519,1,h,up,1
210,1473,1,h,up,1
210,1408,1,h,up,1
210,1311,2,h,up,1
210,3651,1,l,up,2
210,1537,1,l,up,2
210,713,1,l,up,2
210,434,1,l,up,2
210,1247,1,l,up,2
210,996,2,l,up,2
210,1671,1,l,up,2
210,1592,2,l,up,2
210,1306,1,l,up,2
210,1796,1,l,up,2
210,794,1,l,up,2
210,2466,2,l,up,2
210,838,2,l,up,2
210,1944,2,l,up,2
210,874,2,l,up,2
210,1204,1,l,up,2
210,536,1,s,up,1
210,1440,2,s,up,1
210,1473,1,s,up,1
210,968,1,s,up,1
210,1058,1,s,up,1
210,1523,2,s,up,1
210,959,1,s,up,1
210,2971,2,s,up,1
211,552,1,h,in,1
211,978,1,h,in,1
211,2244,1,h,in,1
211,370,1,h,in,1
211,593,1,h,in,1
211,1000,1,h,in,1
211,1434,1,h,in,1
211,408,1,h,in,1
211,404,1,l,in,2
211,1144,1,l,in,2
211,579,1,l,in,2
211,1197,2,l,in,2
211,554,1,l,in,2
211,800,2,l,in,2
211,819,1,l,in,2
211,596,1,l,in,2
211,472,1,l,in,2
211,550,1,l,in,2
211,509,1,l,in,2
211,507,1,l,in,2
211,401,1,l,in,2
211,491,1,l,in,2
211,254,1,l,in,2
211,336,1,l,in,2
211,747,1,s,in,1
211,481,1,s,in,1
211,658,1,s,in,1
211,1657,1,s,in,1
211,708,1,s,in,1
211,431,1,s,in,1
211,1717,1,s,in,1
211,817,1,s,in,1
211,385,1,h,up,1
211,675,1,h,up,1
211,736,1,h,up,1
211,492,1,h,up,1
211,3090,1,h,up,1
211,434,1,h,up,1
211,1282,1,h,up,1
211,73,1,h,up,1
211,192,1,l,up,2
211,669,2,l,up,2
211,2452,2,l,up,2
211,636,1,l,up,2
211,1598,1,l,up,2
211,747,1,l,up,2
211,1875,2,l,up,2
211,583,2,l,up,2
211,1636,1,l,up,2
211,605,1,l,up,2
211,1511,1,l,up,2
211,774,1,l,up,2
211,1099,2,l,up,2
211,424,1,l,up,2
211,710,1,l,up,2
211,1027,1,l,up,2
211,122,1,s,up,1
211,1179,1,s,up,1
211,1281,1,s,up,1
211,446,1,s,up,1
211,698,1,s,up,1
211,565,1,s,up,1
211,86,1,s,up,1
211,1332,1,s,up,1
92,3995,1,l,up,2
92,4572,2,l,in,2
92,1848,1,l,in,2
92,5798,1,h,up,1
92,5265,1,h,up,1
92,2074,1,l,up,2
92,1162,1,h,in,1
92,1318,2,l,in,2
92,1713,2,h,in,1
92,1623,1,h,in,1
92,1152,1,s,in,1
92,1440,1,s,in,1
92,1877,1,s,up,1
92,1307,1,h,up,1
92,1582,1,l,up,2
92,1169,1,s,in,1
92,664,1,l,in,2
92,2409,1,l,in,2
92,806,1,h,in,1
92,1784,1,h,up,1
92,886,1,s,up,1
92,979,1,s,in,1
92,896,2,s,up,1
92,926,2,s,up,1
92,2715,2,h,in,1
92,794,2,l,in,2
92,2484,2,l,in,2
92,920,2,l,in,2
92,863,2,s,in,1
92,1844,1,h,in,1
92,617,2,s,up,1
92,1252,2,h,up,1
92,853,2,l,up,2
92,521,2,l,up,2
92,820,2,l,up,2
92,1369,1,l,in,2
92,1177,2,l,up,2
92,2188,1,h,in,1
92,817,2,s,up,1
92,1825,2,l,in,2
92,743,2,l,in,2
92,881,2,l,up,2
92,907,1,h,up,1
92,775,2,l,up,2
92,1356,1,l,up,2
92,871,1,l,up,2
92,1722,1,s,in,1
92,511,2,l,up,2
92,706,2,l,up,2
92,1073,1,l,up,2
92,1313,1,s,in,1
92,2019,1,l,up,2
92,842,1,l,in,2
92,2986,2,l,in,2
92,1269,2,s,in,1
92,1127,1,h,up,1
92,1518,1,l,in,2
92,1359,1,l,in,2
92,1766,1,h,in,1
92,751,1,s,up,1
92,862,1,s,up,1
92,1614,1,h,up,1
92,685,2,l,up,2
92,1009,1,l,in,2
93,2570,1,s,in,1
93,1139,1,l,up,2
93,623,1,s,up,1
93,578,1,h,in,1
93,1336,1,h,in,1
93,880,1,s,in,1
93,473,1,l,up,2
93,517,1,h,up,1
93,447,1,l,in,2
93,692,1,s,up,1
93,987,2,s,up,1
93,1150,2,s,up,1
93,1140,2,l,in,2
93,449,1,l,up,2
93,687,1,l,in,2
93,688,2,l,up,2
93,1095,1,h,in,1
93,1415,1,l,up,2
93,2360,1,l,in,2
93,1528,2,h,up,1
93,1549,2,l,in,2
93,855,1,s,in,1
93,2059,2,h,up,1
93,1010,2,l,in,2
93,1367,1,l,in,2
93,482,1,l,up,2
93,1138,1,s,in,1
93,1734,2,l,up,2
93,768,1,h,in,1
93,994,2,l,up,2
93,527,1,l,in,2
93,361,1,l,in,2
93,1482,2,l,up,2
93,4590,2,l,up,2
93,492,1,h,up,1
93,2899,1,l,up,2
93,1769,2,l,in,2
93,544,1,h,in,1
93,506,1,l,in,2
93,381,1,s,up,1
93,649,1,s,up,1
93,505,2,l,in,2
93,377,1,h,up,1
93,376,1,l,in,2
93,983,1,h,in,1
93,367,1,s,in,1
93,394,2,l,up,2
93,433,1,s,in,1
93,768,2,l,up,2
93,915,1,s,in,1
93,517,1,h,in,1
93,1162,2,l,up,2
93,559,1,l,up,2
93,815,1,h,up,1
93,553,1,l,in,2
93,616,1,h,up,1
93,567,1,l,in,2
93,482,1,l,up,2
93,1019,2,l,in,2
93,1095,1,s,in,1
93,843,1,s,up,1
93,1563,2,s,up,1
93,536,1,h,up,1
93,790,2,h,in,1
95,1365,1,h,in,1
95,2006,1,h,in,1
95,1387,1,h,in,1
95,1978,2,h,in,1
95,2111,1,h,in,1
95,706,1,h,in,1
95,1401,1,h,in,1
95,1052,2,h,in,1
95,1961,2,l,in,2
95,1424,1,l,in,2
95,1116,1,l,in,2
95,1316,2,l,in,2
95,773,1,l,in,2
95,1046,1,l,in,2
95,4785,2,l,in,2
95,730,1,l,in,2
95,1718,2,l,in,2
95,713,1,l,in,2
95,747,1,l,in,2
95,1663,2,l,in,2
95,780,1,l,in,2
95,1571,2,l,in,2
95,1936,1,l,in,2
95,2163,1,l,in,2
95,1433,1,s,in,1
95,863,1,s,in,1
95,1772,1,s,in,1
95,1160,2,s,in,1
95,4640,2,s,in,1
95,680,2,s,in,1
95,1223,1,s,in,1
95,751,1,s,in,1
95,1320,1,h,up,1
95,1624,1,h,up,1
95,1179,1,h,up,1
95,1054,1,h,up,1
95,888,1,h,up,1
95,1421,2,h,up,1
95,1076,2,h,up,1
95,489,1,h,up,1
95,1841,1,l,up,2
95,1386,2,l,up,2
95,1162,2,l,up,2
95,1427,2,l,up,2
95,1053,1,l,up,2
95,976,1,l,up,2
95,814,2,l,up,2
95,712,2,l,up,2
95,770,2,l,up,2
95,729,2,l,up,2
95,666,2,l,up,2
95,672,1,l,up,2
95,474,2,l,up,2
95,1238,1,l,up,2
95,800,2,l,up,2
95,1156,2,l,up,2
95,1103,1,s,up,1
95,725,1,s,up,1
95,834,2,s,up,1
95,2217,2,s,up,1
95,1247,1,s,up,1
95,793,1,s,up,1
95,1837,1,s,up,1
95,1487,2,s,up,1
96,2909,1,h,in,1
96,3805,2,h,in,1
96,941,2,h,in,1
96,2465,2,h,in,1
96,2880,2,h,in,1
96,1109,2,h,in,1
96,11941,2,h,in,1
96,3431,2,h,in,1
96,11331,1,l,in,2
96,14954,1,l,in,2
96,21803,2,l,in,2
96,15409,1,l,in,2
96,4351,1,l,in,2
96,12270,2,l,in,2
96,5257,2,l,in,2
96,1325,2,l,in,2
96,3778,2,l,in,2
96,1913,2,l,in,2
96,2512,2,l,in,2
96,2409,2,l,in,2
96,2398,2,l,in,2
96,1150,2,l,in,2
96,2132,2,l,in,2
96,4047,2,l,in,2
96,5945,2,s,in,1
96,6877,2,s,in,1
96,7761,2,s,in,1
96,1035,2,s,in,1
96,3156,1,s,in,1
96,4707,1,s,in,1
96,3450,1,s,in,1
96,6004,1,s,in,1
96,3075,1,h,up,1
96,5670,1,h,up,1
96,4142,1,h,up,1
96,4174,1,h,up,1
96,5039,1,h,up,1
96,11507,1,h,up,1
96,11697,1,h,up,1
96,6320,2,h,up,1
96,1094,2,l,up,2
96,3281,2,l,up,2
96,2635,2,l,up,2
96,1893,2,l,up,2
96,11886,1,l,up,2
96,1723,2,l,up,2
96,774,2,l,up,2
96,1960,2,l,up,2
96,12191,1,l,up,2
96,1164,2,l,up,2
96,2841,2,l,up,2
96,1487,2,l,up,2
96,3849,2,l,up,2
96,5982,2,l,up,2
96,3334,2,l,up,2
96,19168,1,l,up,2
96,5742,1,s,up,1
96,4736,1,s,up,1
96,5497,1,s,up,1
96,3934,1,s,up,1
96,4094,2,s,up,1
96,3193,1,s,up,1
96,9586,1,s,up,1
96,5445,1,s,up,1
350,3133,1,l,in,2
350,635,1,l,in,2
350,463,2,l,in,2
350,957,1,l,in,2
350,1575,1,l,in,2
350,667,1,l,in,2
350,876,1,l,in,2
350,691,1,l,in,2
350,2757,1,l,up,2
350,798,2,l,up,2
350,582,2,l,up,2
350,702,2,l,up,2
350,866,2,l,up,2
350,800,2,l,up,2
350,930,1,l,up,2
350,882,2,l,up,2
350,1275,1,s,in,1
350,671,1,s,in,1
350,841,1,s,in,1
350,1243,1,s,in,1
350,1035,1,s,up,1
350,1710,1,s,up,1
350,356,2,s,up,1
350,1988,1,s,up,1
350,392,1,h,in,1
350,843,1,h,in,1
350,1442,1,h,in,1
350,2014,1,h,in,1
350,1034,1,h,up,1
350,477,1,h,up,1
350,385,1,h,up,1
350,3183,1,h,up,1
350,582,1,l,in,2
350,836,1,l,in,2
350,1325,1,l,in,2
350,472,1,l,in,2
350,690,2,l,in,2
350,982,1,l,in,2
350,572,1,l,in,2
350,1186,1,l,in,2
350,402,2,l,up,2
350,509,2,l,up,2
350,472,1,l,up,2
350,982,1,l,up,2
350,646,1,l,up,2
350,692,2,l,up,2
350,532,1,l,up,2
350,640,2,l,up,2
350,707,1,s,in,1
350,701,1,s,in,1
350,877,2,s,in,1
350,484,1,s,in,1
350,595,1,s,up,1
350,1387,1,s,up,1
350,851,1,s,up,1
350,932,1,s,up,1
350,690,1,h,in,1
350,716,1,h,in,1
350,1557,2,h,in,1
350,643,1,h,in,1
350,535,1,h,up,1
350,462,1,h,up,1
350,1903,1,h,up,1
350,589,1,h,up,1
353,1939,1,s,in,1
353,1082,2,s,in,1
353,951,2,s,in,1
353,1189,2,s,in,1
353,1018,1,s,up,1
353,962,1,s,up,1
353,1003,2,s,up,1
353,1042,1,s,up,1
353,819,1,h,in,1
353,762,2,h,in,1
353,802,2,h,in,1
353,829,2,h,in,1
353,1082,1,h,up,1
353,1020,1,h,up,1
353,1643,1,h,up,1
353,840,2,h,up,1
353,1916,2,l,in,2
353,874,2,l,in,2
353,521,2,l,in,2
353,881,1,l,in,2
353,564,2,l,in,2
353,5677,1,l,in,2
353,663,2,l,in,2
353,649,2,l,in,2
353,837,2,l,up,2
353,1114,2,l,up,2
353,556,2,l,up,2
353,588,2,l,up,2
353,1544,1,l,up,2
353,1057,2,l,up,2
353,1027,2,l,up,2
353,559,2,l,up,2
353,629,2,s,in,1
353,1380,1,s,in,1
353,1063,2,s,in,1
353,627,1,s,in,1
353,1741,1,s,up,1
353,1461,1,s,up,1
353,552,1,s,up,1
353,1829,2,s,up,1
353,871,2,h,in,1
353,571,2,h,in,1
353,988,1,h,in,1
353,1191,1,h,in,1
353,1979,1,h,up,1
353,932,2,h,up,1
353,1399,1,h,up,1
353,676,1,h,up,1
353,677,2,l,in,2
353,1468,1,l,in,2
353,670,1,l,in,2
353,540,1,l,in,2
353,944,2,l,in,2
353,1294,1,l,in,2
353,1253,1,l,in,2
353,755,2,l,in,2
353,488,2,l,up,2
353,670,2,l,up,2
353,823,2,l,up,2
353,1451,1,l,up,2
353,968,2,l,up,2
353,1804,2,l,up,2
353,827,2,l,up,2
353,607,1,l,up,2
359,2227,2,s,in,1
359,2216,1,s,in,1
359,1344,2,s,in,1
359,2740,2,s,in,1
359,716,1,s,up,1
359,3856,1,s,up,1
359,3264,1,s,up,1
359,1560,1,s,up,1
359,3191,2,h,in,1
359,1253,2,h,in,1
359,2402,2,h,in,1
359,1223,2,h,in,1
359,3455,1,h,up,1
359,2815,1,h,up,1
359,1077,1,h,up,1
359,1027,1,h,up,1
359,463,2,l,in,2
359,1805,1,l,in,2
359,1480,2,l,in,2
359,1972,1,l,in,2
359,2020,2,l,in,2
359,1373,1,l,in,2
359,1746,2,l,in,2
359,622,2,l,in,2
359,3546,1,l,up,2
359,1309,2,l,up,2
359,1574,2,l,up,2
359,3067,1,l,up,2
359,1205,2,l,up,2
359,515,2,l,up,2
359,800,2,l,up,2
359,944,2,l,up,2
359,2715,1,s,in,1
359,2823,2,s,in,1
359,1002,2,s,in,1
359,956,2,s,in,1
359,2056,1,s,up,1
359,1558,1,s,up,1
359,2334,1,s,up,1
359,2198,1,s,up,1
359,1062,1,h,in,1
359,2333,2,h,in,1
359,1284,2,h,in,1
359,1228,2,h,in,1
359,2541,1,h,up,1
359,963,1,h,up,1
359,2086,1,h,up,1
359,1957,1,h,up,1
359,810,2,l,in,2
359,2747,1,l,in,2
359,993,2,l,in,2
359,1824,1,l,in,2
359,4453,1,l,in,2
359,1191,1,l,in,2
359,909,2,l,in,2
359,1042,1,l,in,2
359,1430,2,l,up,2
359,596,2,l,up,2
359,2376,1,l,up,2
359,2075,1,l,up,2
359,710,2,l,up,2
359,2304,1,l,up,2
359,3526,2,l,up,2
359,640,2,l,up,2
360,4834,2,l,in,2
360,1001,1,l,in,2
360,1933,1,l,in,2
360,2458,1,l,in,2
360,1507,1,l,in,2
360,3754,2,l,in,2
360,903,1,l,in,2
360,928,1,l,in,2
360,965,2,l,up,2
360,1212,2,l,up,2
360,2282,2,l,up,2
360,1560,2,l,up,2
360,731,2,l,up,2
360,1595,1,l,up,2
360,1084,2,l,up,2
360,712,2,l,up,2
360,1523,2,s,in,1
360,775,1,s,in,1
360,1807,1,s,in,1
360,2276,1,s,in,1
360,1304,1,s,up,1
360,1113,1,s,up,1
360,1548,1,s,up,1
360,1653,2,s,up,1
360,1478,1,h,in,1
360,3578,1,h,in,1
360,2656,1,h,in,1
360,537,1,h,in,1
360,3371,2,h,up,1
360,897,1,h,up,1
360,1807,1,h,up,1
360,1094,1,h,up,1
360,1761,1,l,in,2
360,2830,1,l,in,2
360,1815,1,l,in,2
360,962,2,l,in,2
360,1516,2,l,in,2
360,1232,2,l,in,2
360,5933,1,l,in,2
360,1708,1,l,in,2
360,2956,2,l,up,2
360,2726,1,l,up,2
360,779,2,l,up,2
360,1668,2,l,up,2
360,7476,2,l,up,2
360,1636,2,l,up,2
360,1521,2,l,up,2
360,2108,2,l,up,2
360,1087,1,s,in,1
360,1246,1,s,in,1
360,622,1,s,in,1
360,1597,1,s,in,1
360,1526,1,s,up,1
360,1184,2,s,up,1
360,1113,2,s,up,1
360,2304,1,s,up,1
360,1092,1,h,in,1
360,6112,1,h,in,1
360,693,2,h,in,1
360,2730,1,h,in,1
360,1026,1,h,up,1
360,1428,1,h,up,1
360,1908,1,h,up,1
360,1445,2,h,up,1
411,1027,2,l,up,2
411,500,2,l,up,2
411,1362,2,l,up,2
411,1032,2,l,up,2
411,2786,1,l,up,2
411,843,2,l,up,2
411,883,2,l,up,2
411,998,2,l,up,2
411,1079,2,l,in,2
411,1374,2,l,in,2
411,517,2,l,in,2
411,613,2,l,in,2
411,1683,2,l,in,2
411,1150,2,l,in,2
411,1551,2,l,in,2
411,1287,2,l,in,2
411,1073,1,h,up,1
411,802,1,h,up,1
411,1656,1,h,up,1
411,3411,2,h,up,1
411,784,2,h,in,1
411,1715,1,h,in,1
411,1784,1,h,in,1
411,3013,2,h,in,1
411,1125,1,s,up,1
411,718,2,s,up,1
411,914,2,s,up,1
411,1433,2,s,up,1
411,2323,2,s,in,1
411,2943,1,s,in,1
411,1584,1,s,in,1
411,1972,2,s,in,1
411,851,2,l,up,2
411,1980,2,l,up,2
411,800,2,l,up,2
411,1366,2,l,up,2
411,1374,2,l,up,2
411,872,1,l,up,2
411,869,2,l,up,2
411,1049,1,l,up,2
411,1730,2,l,in,2
411,729,2,l,in,2
411,1514,2,l,in,2
411,1530,1,l,in,2
411,845,1,l,in,2
411,540,2,l,in,2
411,1124,2,l,in,2
411,1133,2,l,in,2
411,1186,1,h,up,1
411,1103,2,h,up,1
411,3109,1,h,up,1
411,1989,1,h,up,1
411,516,2,h,in,1
411,1079,1,h,in,1
411,3558,2,h,in,1
411,2588,1,h,in,1
411,1537,2,s,up,1
411,1343,1,s,up,1
411,968,2,s,up,1
411,1820,1,s,up,1
411,1613,1,s,in,1
411,1380,1,s,in,1
411,3496,2,s,in,1
411,773,2,s,in,1
416,824,1,s,in,1
416,1523,2,s,in,1
416,993,2,s,in,1
416,670,1,s,in,1
416,573,1,s,up,1
416,827,1,s,up,1
416,636,1,s,up,1
416,671,1,s,up,1
416,1044,1,h,in,1
416,937,1,h,in,1
416,755,1,h,in,1
416,832,1,h,in,1
416,1786,1,h,up,1
416,830,1,h,up,1
416,871,1,h,up,1
416,425,1,h,up,1
416,1116,2,l,in,2
416,1791,1,l,in,2
416,734,2,l,in,2
416,465,1,l,in,2
416,647,2,l,in,2
416,736,1,l,in,2
416,1435,2,l,in,2
416,923,2,l,in,2
416,862,1,l,up,2
416,1600,2,l,up,2
416,426,2,l,up,2
416,601,1,l,up,2
416,562,2,l,up,2
416,1084,2,l,up,2
416,1149,1,l,up,2
416,578,2,l,up,2
416,390,2,s,in,1
416,1338,1,s,in,1
416,752,1,s,in,1
416,1374,1,s,in,1
416,971,1,s,up,1
416,579,1,s,up,1
416,588,2,s,up,1
416,1418,1,s,up,1
416,1025,1,h,in,1
416,713,2,h,in,1
416,746,2,h,in,1
416,770,2,h,in,1
416,526,1,h,up,1
416,1167,1,h,up,1
416,1998,2,h,up,1
416,829,1,h,up,1
416,799,2,l,in,2
416,1452,1,l,in,2
416,545,2,l,in,2
416,771,1,l,in,2
416,731,2,l,in,2
416,1993,1,l,in,2
416,1152,2,l,in,2
416,788,2,l,in,2
416,930,1,l,up,2
416,381,2,l,up,2
416,401,2,l,up,2
416,1167,2,l,up,2
416,1301,2,l,up,2
416,1108,2,l,up,2
416,506,2,l,up,2
416,570,2,l,up,2
448,877,1,s,in,1
448,662,1,s,in,1
448,4740,1,s,in,1
448,1939,1,s,in,1
448,1194,2,s,up,1
448,932,2,s,up,1
448,2527,1,s,up,1
448,1035,2,s,up,1
448,2193,1,h,in,1
448,1350,1,h,in,1
448,2379,2,h,in,1
448,2038,1,h,in,1
448,1459,2,h,up,1
448,585,1,h,up,1
448,611,2,h,up,1
448,1693,1,h,up,1
448,2125,1,l,in,2
448,1044,1,l,in,2
448,2458,1,l,in,2
448,1129,2,l,in,2
448,2385,2,l,in,2
448,3879,2,l,in,2
448,4670,1,l,in,2
448,1410,2,l,in,2
448,1029,2,l,up,2
448,846,2,l,up,2
448,792,2,l,up,2
448,778,1,l,up,2
448,2994,2,l,up,2
448,1327,2,l,up,2
448,947,1,l,up,2
448,980,2,l,up,2
448,1612,2,s,in,1
448,705,1,s,in,1
448,2813,2,s,in,1
448,1035,2,s,in,1
448,917,2,s,up,1
448,1015,1,s,up,1
448,513,1,s,up,1
448,1035,2,s,up,1
448,756,1,h,in,1
448,1474,2,h,in,1
448,765,1,h,in,1
448,1051,1,h,in,1
448,638,1,h,up,1
448,974,1,h,up,1
448,675,1,h,up,1
448,717,1,h,up,1
448,973,2,l,in,2
448,3776,2,l,in,2
448,717,1,l,in,2
448,665,1,l,in,2
448,1891,2,l,in,2
448,1469,1,l,in,2
448,3154,2,l,in,2
448,1880,2,l,in,2
448,5026,1,l,up,2
448,861,2,l,up,2
448,905,2,l,up,2
448,4941,2,l,up,2
448,627,1,l,up,2
448,701,2,l,up,2
448,804,2,l,up,2
448,2138,2,l,up,2
471,938,2,h,up,1
471,3340,2,h,up,1
471,762,1,h,up,1
471,846,1,h,up,1
471,2204,2,h,in,1
471,2888,2,h,in,1
471,2788,2,h,in,1
471,1959,1,h,in,1
471,1733,1,s,up,1
471,1531,2,s,up,1
471,1139,2,s,up,1
471,2313,2,s,up,1
471,2092,2,s,in,1
471,1199,1,s,in,1
471,1879,1,s,in,1
471,1105,1,s,in,1
471,3159,2,l,up,2
471,1181,1,l,up,2
471,2028,1,l,up,2
471,1629,2,l,up,2
471,2750,2,l,up,2
471,3131,2,l,up,2
471,2186,2,l,up,2
471,1996,2,l,up,2
471,945,1,l,in,2
471,2305,2,l,in,2
471,946,2,l,in,2
471,2607,2,l,in,2
471,909,1,l,in,2
471,1467,1,l,in,2
471,1182,2,l,in,2
471,1224,2,l,in,2
471,1212,1,h,up,1
471,1941,1,h,up,1
471,2117,2,h,up,1
471,845,1,h,up,1
471,918,2,h,in,1
471,998,1,h,in,1
471,1122,2,h,in,1
471,1226,2,h,in,1
471,969,1,s,up,1
471,902,1,s,up,1
471,903,1,s,up,1
471,1553,1,s,up,1
471,878,1,s,in,1
471,1263,1,s,in,1
471,1368,1,s,in,1
471,2632,1,s,in,1
471,734,2,l,up,2
471,1389,2,l,up,2
471,1292,1,l,up,2
471,1852,1,l,up,2
471,3272,1,l,up,2
471,1539,1,l,up,2
471,1640,1,l,up,2
471,1210,2,l,up,2
471,3980,2,l,in,2
471,1744,2,l,in,2
471,1241,1,l,in,2
471,1646,2,l,in,2
471,891,1,l,in,2
471,1527,2,l,in,2
471,1166,2,l,in,2
471,1106,1,l,in,2
475,828,2,l,in,2
475,416,1,l,in,2
475,766,1,l,in,2
475,733,2,l,in,2
475,1020,2,l,in,2
475,736,2,l,in,2
475,1378,1,l,in,2
475,659,2,l,in,2
475,500,1,l,up,2
475,663,1,l,up,2
475,654,2,l,up,2
475,667,2,l,up,2
475,879,2,l,up,2
475,947,2,l,up,2
475,460,2,l,up,2
475,3732,2,l,up,2
475,1231,2,s,in,1
475,1004,1,s,in,1
475,1093,2,s,in,1
475,1674,1,s,in,1
475,1644,1,s,up,1
475,1923,1,s,up,1
475,1086,1,s,up,1
475,1132,2,s,up,1
475,1468,1,h,in,1
475,1193,2,h,in,1
475,995,2,h,in,1
475,681,1,h,in,1
475,1221,1,h,up,1
475,1811,1,h,up,1
475,633,1,h,up,1
475,1487,1,h,up,1
475,1042,2,l,in,2
475,1090,1,l,in,2
475,828,1,l,in,2
475,728,2,l,in,2
475,970,1,l,in,2
475,1854,1,l,in,2
475,737,2,l,in,2
475,586,1,l,in,2
475,3053,1,l,up,2
475,783,2,l,up,2
475,4243,1,l,up,2
475,893,2,l,up,2
475,1758,1,l,up,2
475,725,2,l,up,2
475,622,2,l,up,2
475,710,1,l,up,2
475,1214,1,s,in,1
475,876,1,s,in,1
475,1149,1,s,in,1
475,909,1,s,in,1
475,1555,2,s,up,1
475,760,1,s,up,1
475,1041,1,s,up,1
475,710,1,s,up,1
475,1772,1,h,in,1
475,2470,1,h,in,1
475,2700,2,h,in,1
475,1338,2,h,in,1
475,893,1,h,up,1
475,980,1,h,up,1
475,819,1,h,up,1
475,1614,1,h,up,1
488,652,2,l,up,2
488,891,2,l,up,2
488,1194,2,l,up,2
488,971,2,l,up,2
488,1350,1,l,up,2
488,391,2,l,up,2
488,1406,2,l,up,2
488,726,2,l,up,2
488,1120,2,l,in,2
488,691,2,l,in,2
488,1702,2,l,in,2
488,531,2,l,in,2
488,1174,2,l,in,2
488,1205,1,l,in,2
488,1594,2,l,in,2
488,748,2,l,in,2
488,1287,2,h,up,1
488,545,1,h,up,1
488,1375,1,h,up,1
488,663,1,h,up,1
488,1251,1,h,in,1
488,578,1,h,in,1
488,676,1,h,in,1
488,2182,2,h,in,1
488,597,2,s,up,1
488,1691,2,s,up,1
488,660,2,s,up,1
488,1248,1,s,up,1
488,777,2,s,in,1
488,538,1,s,in,1
488,2585,1,s,in,1
488,667,1,s,in,1
488,546,2,l,up,2
488,674,2,l,up,2
488,628,2,l,up,2
488,630,2,l,up,2
488,570,2,l,up,2
488,548,2,l,up,2
488,709,1,l,up,2
488,1069,2,l,up,2
488,1160,2,l,in,2
488,868,1,l,in,2
488,1389,1,l,in,2
488,678,2,l,in,2
488,1643,1,l,in,2
488,342,2,l,in,2
488,468,2,l,in,2
488,749,2,l,in,2
488,593,1,h,up,1
488,1244,2,h,up,1
488,1331,1,h,up,1
488,712,2,h,up,1
488,1224,1,h,in,1
488,2035,2,h,in,1
488,666,2,h,in,1
488,909,1,h,in,1
488,947,1,s,up,1
488,629,1,s,up,1
488,2039,2,s,up,1
488,478,2,s,up,1
488,1004,1,s,in,1
488,1883,2,s,in,1
488,1254,2,s,in,1
488,1191,2,s,in,1
510,552,2,l,up,2
510,977,1,l,up,2
510,905,2,l,up,2
510,2329,2,l,up,2
510,541,2,l,up,2
510,527,2,l,up,2
510,847,2,l,up,2
510,1115,2,l,up,2
510,1040,2,l,in,2
510,1018,2,l,in,2
510,898,2,l,in,2
510,665,2,l,in,2
510,1590,1,l,in,2
510,1222,1,l,in,2
510,657,2,l,in,2
510,638,1,l,in,2
510,517,2,h,up,1
510,766,2,h,up,1
510,1586,1,h,up,1
510,489,2,h,up,1
510,1638,1,h,in,1
510,600,2,h,in,1
510,706,2,h,in,1
510,738,2,h,in,1
510,1563,1,s,up,1
510,661,1,s,up,1
510,1014,2,s,up,1
510,906,1,s,up,1
510,2193,1,s,in,1
510,671,2,s,in,1
510,821,1,s,in,1
510,883,1,s,in,1
510,628,2,l,up,2
510,925,2,l,up,2
510,567,2,l,up,2
510,851,1,l,up,2
510,1102,1,l,up,2
510,1086,1,l,up,2
510,646,1,l,up,2
510,1022,2,l,up,2
